Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.710,0.705,0.710,0.695,286.10K,1.43%
"Aug 28, 2020",0.700,0.695,0.710,0.695,550.50K,0.72%
"Aug 27, 2020",0.695,0.710,0.725,0.695,1.25M,-0.71%
"Aug 26, 2020",0.700,0.715,0.725,0.695,3.03M,-2.10%
"Aug 25, 2020",0.715,0.780,0.780,0.715,1.33M,-7.14%
"Aug 24, 2020",0.770,0.750,0.775,0.740,2.83M,5.48%
"Aug 21, 2020",0.730,0.710,0.745,0.710,1.95M,2.82%
"Aug 19, 2020",0.710,0.710,0.730,0.690,1.71M,0.71%
"Aug 18, 2020",0.705,0.705,0.720,0.695,547.60K,0.00%
"Aug 17, 2020",0.705,0.685,0.710,0.675,1.19M,3.68%
"Aug 14, 2020",0.680,0.700,0.700,0.665,436.70K,-2.86%
"Aug 13, 2020",0.700,0.700,0.705,0.690,733.80K,0.72%
"Aug 12, 2020",0.695,0.700,0.700,0.640,2.33M,-0.71%
"Aug 11, 2020",0.700,0.730,0.740,0.690,1.18M,-2.78%
"Aug 10, 2020",0.720,0.745,0.745,0.680,1.39M,-4.00%
"Aug 07, 2020",0.750,0.790,0.795,0.750,2.38M,-4.46%
"Aug 06, 2020",0.785,0.820,0.825,0.770,3.72M,-3.09%
"Aug 05, 2020",0.810,0.775,0.810,0.740,6.81M,6.58%
"Aug 04, 2020",0.760,0.770,0.790,0.740,5.83M,2.01%
"Aug 03, 2020",0.745,0.705,0.745,0.700,5.10M,6.43%
