Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.930,0.900,0.930,0.900,5.90K,0.00%
"Nov 25, 2020",0.930,0.885,0.930,0.885,63.90K,0.00%
"Nov 24, 2020",0.930,0.950,0.950,0.900,69.10K,-2.11%
"Nov 23, 2020",0.950,0.990,0.990,0.940,23.50K,-4.04%
"Nov 20, 2020",0.990,0.990,0.990,0.990,2.40K,2.06%
"Nov 19, 2020",0.970,0.950,0.970,0.950,12.80K,0.00%
"Nov 18, 2020",0.970,0.970,0.980,0.970,4.00K,0.00%
"Nov 17, 2020",0.970,0.970,0.970,0.950,31.30K,-2.02%
"Nov 16, 2020",0.990,1.000,1.000,0.980,117.90K,0.00%
"Nov 13, 2020",0.990,0.920,1.000,0.920,72.90K,7.61%
"Nov 12, 2020",0.920,0.865,0.920,0.865,29.00K,2.22%
"Nov 11, 2020",0.900,0.900,0.920,0.900,4.30K,-2.70%
"Nov 10, 2020",0.925,0.900,0.925,0.900,8.10K,2.78%
"Nov 09, 2020",0.900,0.900,0.900,0.900,6.00K,-2.17%
"Nov 06, 2020",0.920,0.910,0.920,0.910,9.00K,0.00%
"Nov 05, 2020",0.920,0.905,0.920,0.900,19.90K,1.10%
"Nov 04, 2020",0.910,0.880,0.910,0.855,30.40K,2.82%
"Nov 02, 2020",0.885,0.910,0.910,0.855,14.20K,-2.75%
"Oct 30, 2020",0.910,0.920,0.940,0.910,35.60K,-3.70%
"Oct 28, 2020",0.945,0.920,0.950,0.920,10.90K,2.72%
"Oct 27, 2020",0.920,0.920,0.920,0.920,1.00K,-2.65%
"Oct 26, 2020",0.945,0.910,0.950,0.905,35.00K,1.61%
