Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.210,0.175,0.215,0.175,176.36M,23.53%
"Aug 28, 2020",0.170,0.150,0.185,0.150,184.61M,17.24%
"Aug 27, 2020",0.145,0.155,0.160,0.145,23.79M,-3.33%
"Aug 26, 2020",0.150,0.145,0.160,0.145,53.12M,7.14%
"Aug 25, 2020",0.140,0.160,0.165,0.140,40.60M,-9.68%
"Aug 24, 2020",0.155,0.165,0.175,0.150,62.71M,-6.06%
"Aug 21, 2020",0.165,0.155,0.170,0.155,46.86M,3.13%
"Aug 19, 2020",0.160,0.170,0.180,0.150,106.64M,-5.88%
"Aug 18, 2020",0.170,0.135,0.170,0.130,147.30M,30.77%
"Aug 17, 2020",0.130,0.130,0.150,0.120,100.95M,4.00%
"Aug 14, 2020",0.125,0.150,0.150,0.110,114.33M,-16.67%
"Aug 13, 2020",0.150,0.190,0.195,0.140,104.19M,-18.92%
"Aug 12, 2020",0.185,0.215,0.220,0.165,125.76M,-17.78%
"Aug 11, 2020",0.225,0.290,0.295,0.220,151.84M,-15.09%
"Aug 10, 2020",0.265,0.225,0.265,0.215,249.50M,20.45%
"Aug 07, 2020",0.220,0.230,0.250,0.215,105.52M,-2.22%
"Aug 06, 2020",0.225,0.225,0.235,0.210,151.05M,2.27%
"Aug 05, 2020",0.220,0.250,0.250,0.205,103.89M,-8.33%
"Aug 04, 2020",0.240,0.240,0.280,0.220,321.36M,9.09%
"Aug 03, 2020",0.220,0.125,0.305,0.120,811.22M,83.33%
