Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.530,0.520,0.530,0.515,583.20K,0.95%
"Nov 25, 2020",0.525,0.525,0.525,0.520,405.10K,1.94%
"Nov 24, 2020",0.515,0.530,0.530,0.515,1.33M,-1.90%
"Nov 23, 2020",0.525,0.535,0.540,0.525,1.28M,-0.94%
"Nov 20, 2020",0.530,0.525,0.535,0.525,551.00K,0.95%
"Nov 19, 2020",0.525,0.530,0.535,0.520,1.14M,-0.94%
"Nov 18, 2020",0.530,0.535,0.535,0.525,602.50K,-0.93%
"Nov 17, 2020",0.535,0.535,0.540,0.525,2.43M,-0.93%
"Nov 16, 2020",0.540,0.530,0.540,0.525,948.20K,1.89%
"Nov 13, 2020",0.530,0.535,0.535,0.520,561.30K,-0.93%
"Nov 12, 2020",0.535,0.540,0.545,0.525,1.24M,0.00%
"Nov 11, 2020",0.535,0.535,0.540,0.525,594.80K,0.00%
"Nov 10, 2020",0.535,0.510,0.555,0.510,3.38M,4.90%
"Nov 09, 2020",0.510,0.510,0.510,0.500,244.40K,0.00%
"Nov 06, 2020",0.510,0.515,0.525,0.510,470.90K,-0.97%
"Nov 05, 2020",0.515,0.490,0.530,0.490,1.14M,6.19%
"Nov 04, 2020",0.485,0.490,0.495,0.485,134.60K,-1.02%
"Nov 03, 2020",0.490,0.475,0.495,0.475,319.00K,2.08%
"Nov 02, 2020",0.480,0.470,0.480,0.470,262.50K,0.00%
"Oct 30, 2020",0.480,0.485,0.495,0.480,367.10K,-3.03%
"Oct 28, 2020",0.495,0.480,0.500,0.475,694.90K,3.13%
"Oct 27, 2020",0.480,0.480,0.495,0.480,332.40K,1.05%
"Oct 26, 2020",0.475,0.495,0.495,0.465,1.24M,-2.06%
