Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.450,0.505,0.580,0.450,219.52M,-11.76%
"Sep 14, 2020",0.510,0.420,0.515,0.415,77.33M,21.43%
"Sep 11, 2020",0.420,0.325,0.440,0.320,289.17M,31.25%
"Sep 10, 2020",0.320,0.315,0.330,0.280,47.06M,1.59%
"Sep 09, 2020",0.315,0.290,0.360,0.290,98.52M,8.62%
"Sep 08, 2020",0.290,0.240,0.315,0.240,114.81M,20.83%
"Sep 07, 2020",0.240,0.240,0.250,0.225,26.71M,9.09%
"Sep 04, 2020",0.220,0.170,0.240,0.170,49.24M,18.92%
"Sep 03, 2020",0.185,0.180,0.190,0.170,6.37M,5.71%
"Sep 02, 2020",0.175,0.165,0.190,0.160,10.11M,9.38%
"Sep 01, 2020",0.160,0.160,0.170,0.155,3.20M,0.00%
"Aug 28, 2020",0.160,0.170,0.180,0.160,3.08M,-5.88%
"Aug 27, 2020",0.170,0.180,0.180,0.160,3.55M,0.00%
"Aug 26, 2020",0.170,0.145,0.200,0.140,36.36M,17.24%
"Aug 25, 2020",0.145,0.155,0.170,0.140,4.29M,-6.45%
"Aug 24, 2020",0.155,0.165,0.185,0.150,9.25M,-6.06%
"Aug 21, 2020",0.165,0.110,0.185,0.110,27.14M,50.00%
"Aug 19, 2020",0.110,0.115,0.125,0.105,5.15M,-4.35%
"Aug 18, 2020",0.115,0.110,0.115,0.100,4.68M,0.00%
"Aug 17, 2020",0.115,0.115,0.115,0.115,162.50K,0.00%
