Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.605,0.595,0.605,0.595,2.06M,1.68%
"Nov 25, 2020",0.595,0.590,0.595,0.585,1.08M,1.71%
"Nov 24, 2020",0.585,0.585,0.595,0.580,1.36M,0.00%
"Nov 23, 2020",0.585,0.595,0.600,0.585,3.55M,-3.31%
"Nov 20, 2020",0.605,0.600,0.605,0.590,1.80M,0.00%
"Nov 19, 2020",0.605,0.600,0.605,0.590,1.32M,0.83%
"Nov 18, 2020",0.600,0.610,0.610,0.600,1.75M,-1.64%
"Nov 17, 2020",0.610,0.610,0.610,0.600,1.46M,0.00%
"Nov 16, 2020",0.610,0.605,0.610,0.600,1.89M,0.83%
"Nov 13, 2020",0.605,0.605,0.620,0.600,2.09M,0.00%
"Nov 12, 2020",0.605,0.610,0.615,0.600,686.20K,-0.82%
"Nov 11, 2020",0.610,0.625,0.625,0.600,1.72M,-1.61%
"Nov 10, 2020",0.620,0.605,0.625,0.600,5.22M,3.33%
"Nov 09, 2020",0.600,0.590,0.600,0.590,657.90K,0.84%
"Nov 06, 2020",0.595,0.605,0.605,0.585,674.60K,-0.83%
"Nov 05, 2020",0.600,0.585,0.610,0.580,1.46M,2.56%
"Nov 04, 2020",0.585,0.580,0.590,0.575,721.60K,0.86%
"Nov 03, 2020",0.580,0.570,0.580,0.570,444.20K,1.75%
"Nov 02, 2020",0.570,0.570,0.580,0.565,917.20K,-0.87%
"Oct 30, 2020",0.575,0.595,0.595,0.570,1.93M,-3.36%
"Oct 28, 2020",0.595,0.595,0.600,0.590,501.90K,0.00%
"Oct 27, 2020",0.595,0.585,0.600,0.585,542.60K,0.85%
"Oct 26, 2020",0.590,0.600,0.600,0.580,1.12M,0.00%
