Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.570,0.585,0.585,0.570,15.70M,-0.87%
"Nov 25, 2020",0.575,0.570,0.590,0.570,15.42M,0.88%
"Nov 24, 2020",0.570,0.595,0.605,0.565,17.57M,-3.39%
"Nov 23, 2020",0.590,0.595,0.595,0.585,8.11M,-0.84%
"Nov 20, 2020",0.595,0.590,0.610,0.585,19.89M,0.85%
"Nov 19, 2020",0.590,0.595,0.595,0.585,11.85M,-1.67%
"Nov 18, 2020",0.600,0.610,0.615,0.590,16.37M,-2.44%
"Nov 17, 2020",0.615,0.620,0.645,0.610,44.95M,0.00%
"Nov 16, 2020",0.615,0.550,0.615,0.545,56.28M,12.84%
"Nov 13, 2020",0.545,0.550,0.550,0.540,9.65M,-0.91%
"Nov 12, 2020",0.550,0.550,0.555,0.545,9.70M,0.92%
"Nov 11, 2020",0.545,0.555,0.565,0.535,10.39M,-0.91%
"Nov 10, 2020",0.550,0.515,0.560,0.515,40.80M,7.84%
"Nov 09, 2020",0.510,0.515,0.515,0.500,3.08M,-0.97%
"Nov 06, 2020",0.515,0.510,0.520,0.505,3.38M,0.98%
"Nov 05, 2020",0.510,0.505,0.510,0.500,4.21M,2.00%
"Nov 04, 2020",0.500,0.495,0.505,0.495,1.93M,2.04%
"Nov 03, 2020",0.490,0.490,0.500,0.485,2.83M,1.03%
"Nov 02, 2020",0.485,0.495,0.495,0.485,4.05M,-1.02%
"Oct 30, 2020",0.490,0.505,0.505,0.490,9.44M,-2.97%
"Oct 28, 2020",0.505,0.500,0.505,0.500,1.56M,0.00%
"Oct 27, 2020",0.505,0.505,0.510,0.500,3.81M,0.00%
"Oct 26, 2020",0.505,0.510,0.510,0.500,2.20M,-0.98%
