Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.365,0.375,0.375,0.365,72.40K,-1.35%
"Aug 28, 2020",0.370,0.365,0.370,0.360,921.10K,0.00%
"Aug 27, 2020",0.370,0.375,0.375,0.370,455.60K,-1.33%
"Aug 26, 2020",0.375,0.375,0.380,0.370,508.00K,2.74%
"Aug 25, 2020",0.365,0.375,0.375,0.365,643.20K,-2.67%
"Aug 24, 2020",0.375,0.370,0.380,0.365,701.80K,1.35%
"Aug 21, 2020",0.370,0.375,0.380,0.370,420.90K,-1.33%
"Aug 19, 2020",0.375,0.380,0.385,0.375,237.80K,0.00%
"Aug 18, 2020",0.375,0.375,0.385,0.375,439.30K,0.00%
"Aug 17, 2020",0.375,0.365,0.380,0.360,521.80K,2.74%
"Aug 14, 2020",0.365,0.390,0.390,0.365,1.15M,-6.41%
"Aug 13, 2020",0.390,0.395,0.400,0.385,861.50K,0.00%
"Aug 12, 2020",0.390,0.410,0.410,0.370,3.23M,-3.70%
"Aug 11, 2020",0.405,0.370,0.425,0.365,13.26M,8.00%
"Aug 10, 2020",0.375,0.375,0.380,0.370,813.80K,0.00%
"Aug 07, 2020",0.375,0.385,0.395,0.375,3.28M,0.00%
"Aug 06, 2020",0.375,0.350,0.385,0.340,3.65M,8.70%
"Aug 05, 2020",0.345,0.325,0.345,0.320,1.27M,6.15%
"Aug 04, 2020",0.325,0.325,0.330,0.325,778.00K,-1.52%
"Aug 03, 2020",0.330,0.335,0.340,0.330,1.18M,-2.94%
