Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.850,0.830,0.850,0.830,62.90K,0.00%
"Nov 25, 2020",0.850,0.830,0.860,0.825,178.30K,2.41%
"Nov 24, 2020",0.830,0.870,0.870,0.790,227.60K,-4.60%
"Nov 23, 2020",0.870,0.840,0.870,0.830,380.00K,4.19%
"Nov 20, 2020",0.835,0.820,0.835,0.820,188.40K,1.83%
"Nov 19, 2020",0.820,0.835,0.835,0.815,211.10K,-1.80%
"Nov 18, 2020",0.835,0.825,0.850,0.805,346.00K,1.21%
"Nov 17, 2020",0.825,0.770,0.830,0.765,750.10K,7.84%
"Nov 16, 2020",0.765,0.775,0.775,0.750,252.60K,0.00%
"Nov 13, 2020",0.765,0.765,0.765,0.750,155.00K,0.00%
"Nov 12, 2020",0.765,0.780,0.780,0.760,180.10K,-0.65%
"Nov 11, 2020",0.770,0.700,0.785,0.700,818.80K,10.00%
"Nov 10, 2020",0.700,0.700,0.705,0.695,573.00K,0.00%
"Nov 09, 2020",0.700,0.700,0.705,0.700,88.50K,-0.71%
"Nov 06, 2020",0.705,0.705,0.705,0.705,2.40K,0.71%
"Nov 05, 2020",0.700,0.700,0.705,0.700,68.00K,0.72%
"Nov 04, 2020",0.695,0.690,0.695,0.685,38.00K,0.72%
"Nov 03, 2020",0.690,0.685,0.690,0.675,95.60K,-0.72%
"Nov 02, 2020",0.695,0.700,0.700,0.695,162.60K,0.00%
"Oct 30, 2020",0.695,0.700,0.700,0.690,49.40K,-0.71%
"Oct 28, 2020",0.700,0.700,0.700,0.700,23.00K,0.00%
"Oct 27, 2020",0.700,0.700,0.705,0.700,125.00K,0.72%
"Oct 26, 2020",0.695,0.700,0.700,0.695,132.30K,-0.71%
