Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",2.000,2.000,2.000,2.000,-,3.09%
"Aug 26, 2020",1.940,1.950,1.950,1.940,10.00K,-2.51%
"Aug 25, 2020",1.990,1.990,1.990,1.990,1.10K,0.00%
"Aug 24, 2020",1.990,1.990,1.990,1.990,5.00K,1.53%
"Aug 21, 2020",1.960,1.970,2.000,1.960,42.00K,-2.00%
"Aug 18, 2020",2.000,2.000,2.010,2.000,105.20K,0.00%
"Aug 17, 2020",2.000,2.000,2.000,2.000,6.50K,1.01%
"Aug 13, 2020",1.980,1.990,1.990,1.980,1.50K,-1.00%
"Aug 12, 2020",2.000,2.000,2.000,2.000,20.00K,0.00%
"Aug 11, 2020",2.000,2.000,2.000,2.000,1.00K,1.01%
"Aug 10, 2020",1.980,1.960,1.980,1.950,11.30K,0.00%
"Aug 06, 2020",1.980,2.010,2.010,1.980,4.90K,-1.49%
"Aug 05, 2020",2.010,2.010,2.010,2.010,1.10K,-2.43%
"Aug 04, 2020",2.060,2.000,2.060,2.000,6.20K,3.00%
"Aug 03, 2020",2.000,2.050,2.050,2.000,1.50K,-3.38%
