Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.800,1.840,1.840,1.790,233.60K,-1.64%
"Aug 28, 2020",1.830,1.810,1.850,1.810,432.00K,1.10%
"Aug 27, 2020",1.810,1.810,1.840,1.800,430.80K,0.00%
"Aug 26, 2020",1.810,1.830,1.830,1.790,1.29M,-2.16%
"Aug 25, 2020",1.850,1.900,1.910,1.850,1.04M,-2.63%
"Aug 24, 2020",1.900,1.890,1.920,1.830,3.98M,-7.32%
"Aug 21, 2020",2.050,2.010,2.050,2.000,890.40K,3.02%
"Aug 19, 2020",1.990,1.950,2.040,1.950,1.03M,2.05%
"Aug 18, 2020",1.950,1.910,1.950,1.900,512.60K,2.09%
"Aug 17, 2020",1.910,1.920,1.940,1.870,690.10K,-0.52%
"Aug 14, 2020",1.920,1.950,1.950,1.890,633.80K,-1.54%
"Aug 13, 2020",1.950,1.920,1.960,1.920,425.60K,1.56%
"Aug 12, 2020",1.920,2.040,2.040,1.860,1.95M,-4.00%
"Aug 11, 2020",2.000,2.100,2.150,1.970,1.36M,-3.38%
"Aug 10, 2020",2.070,2.070,2.210,2.040,4.00M,3.50%
"Aug 07, 2020",2.000,1.960,2.170,1.940,5.39M,3.09%
"Aug 06, 2020",1.940,1.950,1.970,1.920,1.19M,0.00%
"Aug 05, 2020",1.940,1.900,1.940,1.880,886.30K,2.11%
"Aug 04, 2020",1.900,1.930,1.970,1.890,1.25M,-1.04%
"Aug 03, 2020",1.920,1.890,1.950,1.860,1.97M,1.59%
