Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.090,0.085,0.090,0.085,3.72M,5.88%
"Aug 28, 2020",0.085,0.085,0.090,0.085,6.39M,0.00%
"Aug 27, 2020",0.085,0.085,0.090,0.080,4.20M,0.00%
"Aug 26, 2020",0.085,0.080,0.085,0.080,5.91M,6.25%
"Aug 25, 2020",0.080,0.085,0.085,0.080,2.52M,-5.88%
"Aug 24, 2020",0.085,0.090,0.090,0.085,9.70M,0.00%
"Aug 21, 2020",0.085,0.090,0.090,0.085,3.39M,-5.56%
"Aug 19, 2020",0.090,0.080,0.095,0.080,23.95M,12.50%
"Aug 18, 2020",0.080,0.080,0.085,0.080,1.25M,0.00%
"Aug 17, 2020",0.080,0.080,0.085,0.080,1.97M,0.00%
"Aug 14, 2020",0.080,0.085,0.085,0.080,4.87M,-5.88%
"Aug 13, 2020",0.085,0.090,0.090,0.085,8.07M,-5.56%
"Aug 12, 2020",0.090,0.090,0.090,0.080,9.22M,5.88%
"Aug 11, 2020",0.085,0.095,0.110,0.085,52.41M,-10.53%
"Aug 10, 2020",0.095,0.080,0.095,0.080,24.09M,18.75%
"Aug 07, 2020",0.080,0.080,0.085,0.080,5.88M,0.00%
"Aug 06, 2020",0.080,0.085,0.085,0.080,4.94M,-5.88%
"Aug 05, 2020",0.085,0.085,0.085,0.080,7.75M,6.25%
"Aug 04, 2020",0.080,0.080,0.085,0.075,9.76M,6.67%
"Aug 03, 2020",0.075,0.080,0.085,0.075,9.82M,-11.76%
