Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.360,0.360,0.360,0.360,-,1.41%
"Aug 28, 2020",0.355,0.355,0.355,0.355,2.00K,2.90%
"Aug 27, 2020",0.345,0.340,0.345,0.340,44.90K,6.15%
"Aug 19, 2020",0.325,0.325,0.325,0.325,10.00K,-2.99%
"Aug 18, 2020",0.335,0.390,0.390,0.320,1.00K,6.35%
"Aug 17, 2020",0.315,0.315,0.315,0.315,1.00K,-19.23%
"Aug 13, 2020",0.390,0.390,0.390,0.390,2.00K,2.63%
"Aug 11, 2020",0.380,0.370,0.380,0.370,4.00K,5.56%
"Aug 06, 2020",0.360,0.360,0.360,0.360,1.00K,0.00%
"Aug 04, 2020",0.360,0.415,0.415,0.360,13.00K,-14.29%
