Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.245,0.250,0.255,0.245,1.02M,0.00%
"Aug 28, 2020",0.245,0.255,0.255,0.245,2.49M,-2.00%
"Aug 27, 2020",0.250,0.250,0.255,0.240,1.26M,-1.96%
"Aug 26, 2020",0.255,0.245,0.270,0.240,9.07M,6.25%
"Aug 25, 2020",0.240,0.230,0.245,0.225,4.32M,4.35%
"Aug 24, 2020",0.230,0.245,0.250,0.225,6.10M,-6.12%
"Aug 21, 2020",0.245,0.245,0.245,0.235,3.65M,2.08%
"Aug 19, 2020",0.240,0.250,0.260,0.220,7.35M,0.00%
"Aug 18, 2020",0.240,0.220,0.250,0.220,10.12M,11.63%
"Aug 17, 2020",0.215,0.205,0.220,0.195,12.41M,10.26%
"Aug 14, 2020",0.195,0.175,0.205,0.175,12.24M,11.43%
"Aug 13, 2020",0.175,0.185,0.185,0.175,3.42M,0.00%
"Aug 12, 2020",0.175,0.175,0.185,0.160,6.76M,2.94%
"Aug 11, 2020",0.170,0.185,0.185,0.170,6.65M,-2.86%
"Aug 10, 2020",0.175,0.185,0.200,0.175,7.98M,0.00%
"Aug 07, 2020",0.175,0.180,0.185,0.175,8.19M,-2.78%
"Aug 06, 2020",0.180,0.160,0.190,0.155,16.73M,12.50%
"Aug 05, 2020",0.160,0.160,0.160,0.155,914.70K,0.00%
"Aug 04, 2020",0.160,0.160,0.160,0.155,2.69M,0.00%
"Aug 03, 2020",0.160,0.155,0.160,0.150,2.65M,3.23%
