Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.065,0.060,0.065,0.055,39.48M,18.18%
"Sep 14, 2020",0.055,0.055,0.060,0.050,11.82M,10.00%
"Sep 11, 2020",0.050,0.050,0.055,0.045,14.66M,0.00%
"Sep 10, 2020",0.050,0.055,0.055,0.050,6.85M,0.00%
"Sep 09, 2020",0.050,0.050,0.055,0.050,4.78M,0.00%
"Sep 08, 2020",0.050,0.055,0.055,0.050,17.10M,-9.09%
"Sep 07, 2020",0.055,0.060,0.060,0.055,12.17M,-8.33%
"Sep 04, 2020",0.060,0.055,0.060,0.055,9.19M,9.09%
"Sep 03, 2020",0.055,0.060,0.065,0.055,10.42M,-15.38%
"Sep 02, 2020",0.065,0.065,0.065,0.060,5.73M,0.00%
"Sep 01, 2020",0.065,0.065,0.065,0.060,3.97M,0.00%
"Aug 28, 2020",0.065,0.065,0.070,0.060,4.47M,0.00%
"Aug 27, 2020",0.065,0.065,0.070,0.060,34.53M,8.33%
"Aug 26, 2020",0.060,0.055,0.060,0.055,3.59M,9.09%
"Aug 25, 2020",0.055,0.060,0.060,0.055,4.18M,-8.33%
"Aug 24, 2020",0.060,0.055,0.060,0.055,7.31M,9.09%
"Aug 21, 2020",0.055,0.055,0.060,0.055,4.46M,0.00%
"Aug 19, 2020",0.055,0.055,0.055,0.050,5.74M,0.00%
"Aug 18, 2020",0.055,0.055,0.055,0.055,5.85M,0.00%
"Aug 17, 2020",0.055,0.055,0.060,0.055,7.78M,10.00%
