Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",2.420,2.400,2.420,2.400,23.00K,0.83%
"Aug 28, 2020",2.400,2.430,2.430,2.380,18.80K,0.00%
"Aug 27, 2020",2.400,2.430,2.500,2.400,29.90K,0.84%
"Aug 26, 2020",2.380,2.480,2.500,2.350,133.20K,-4.03%
"Aug 25, 2020",2.480,2.240,2.480,2.240,497.80K,10.71%
"Aug 24, 2020",2.240,2.190,2.280,2.190,84.20K,3.23%
"Aug 21, 2020",2.170,1.860,2.200,1.860,196.30K,8.50%
"Aug 19, 2020",2.000,2.100,2.100,2.000,4.30K,-4.76%
"Aug 18, 2020",2.100,2.060,2.210,2.060,199.40K,0.00%
"Aug 17, 2020",2.100,1.920,2.120,1.920,199.80K,9.37%
"Aug 14, 2020",1.920,1.950,1.950,1.800,96.90K,-1.54%
"Aug 13, 2020",1.950,1.910,2.030,1.910,137.40K,4.28%
"Aug 12, 2020",1.870,1.870,1.880,1.860,45.40K,-5.08%
"Aug 11, 2020",1.970,2.160,2.160,1.850,187.20K,-8.80%
"Aug 10, 2020",2.160,1.890,2.300,1.890,455.60K,16.13%
"Aug 07, 2020",1.860,1.850,1.880,1.850,137.20K,0.54%
"Aug 06, 2020",1.850,1.690,1.850,1.690,472.90K,10.78%
"Aug 05, 2020",1.670,1.640,1.680,1.610,65.60K,4.37%
"Aug 04, 2020",1.600,1.600,1.600,1.600,20.50K,-1.84%
"Aug 03, 2020",1.630,1.630,1.630,1.600,28.50K,0.62%
