Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.070,0.075,0.075,0.065,6.42M,0.00%
"Aug 28, 2020",0.070,0.075,0.080,0.065,28.82M,0.00%
"Aug 27, 2020",0.070,0.090,0.090,0.070,32.20M,-17.65%
"Aug 26, 2020",0.085,0.050,0.090,0.045,117.13M,70.00%
"Aug 25, 2020",0.050,0.055,0.055,0.050,2.32M,-9.09%
"Aug 24, 2020",0.055,0.055,0.055,0.050,7.00M,0.00%
"Aug 21, 2020",0.055,0.060,0.065,0.055,19.74M,-8.33%
"Aug 19, 2020",0.060,0.055,0.060,0.050,5.52M,20.00%
"Aug 18, 2020",0.050,0.050,0.055,0.050,606.10K,0.00%
"Aug 17, 2020",0.050,0.055,0.055,0.050,2.00M,-9.09%
"Aug 14, 2020",0.055,0.065,0.065,0.050,11.56M,-8.33%
"Aug 13, 2020",0.060,0.055,0.065,0.050,21.02M,9.09%
"Aug 12, 2020",0.055,0.055,0.055,0.045,5.90M,0.00%
"Aug 11, 2020",0.055,0.055,0.055,0.050,4.01M,0.00%
"Aug 10, 2020",0.055,0.050,0.060,0.050,13.88M,10.00%
"Aug 07, 2020",0.050,0.050,0.060,0.045,19.68M,11.11%
"Aug 06, 2020",0.045,0.040,0.050,0.040,9.02M,12.50%
"Aug 05, 2020",0.040,0.040,0.045,0.040,1.47M,0.00%
"Aug 04, 2020",0.040,0.040,0.040,0.040,2.96M,0.00%
"Aug 03, 2020",0.040,0.040,0.045,0.035,1.95M,0.00%
