Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.760,0.745,0.760,0.740,2.36M,2.01%
"Nov 25, 2020",0.745,0.740,0.755,0.740,1.99M,0.68%
"Nov 24, 2020",0.740,0.790,0.790,0.735,7.82M,-3.90%
"Nov 23, 2020",0.770,0.755,0.790,0.755,13.77M,2.67%
"Nov 20, 2020",0.750,0.730,0.760,0.730,4.98M,2.74%
"Nov 19, 2020",0.730,0.740,0.740,0.725,1.67M,-1.35%
"Nov 18, 2020",0.740,0.730,0.750,0.720,3.99M,1.37%
"Nov 17, 2020",0.730,0.735,0.740,0.705,3.22M,0.00%
"Nov 16, 2020",0.730,0.765,0.770,0.730,4.22M,-4.58%
"Nov 13, 2020",0.765,0.755,0.770,0.740,5.84M,2.00%
"Nov 12, 2020",0.750,0.720,0.760,0.715,9.77M,4.17%
"Nov 11, 2020",0.720,0.720,0.725,0.710,2.63M,0.00%
"Nov 10, 2020",0.720,0.720,0.730,0.705,3.29M,0.00%
"Nov 09, 2020",0.720,0.740,0.745,0.720,2.67M,-2.04%
"Nov 06, 2020",0.735,0.750,0.750,0.725,4.42M,-0.68%
"Nov 05, 2020",0.740,0.715,0.745,0.710,4.36M,4.96%
"Nov 04, 2020",0.705,0.700,0.715,0.695,2.36M,1.44%
"Nov 03, 2020",0.695,0.685,0.700,0.685,2.30M,2.96%
"Nov 02, 2020",0.675,0.680,0.690,0.670,3.06M,-0.74%
"Oct 30, 2020",0.680,0.710,0.710,0.670,6.89M,-3.55%
"Oct 28, 2020",0.705,0.720,0.720,0.705,3.04M,-2.08%
"Oct 27, 2020",0.720,0.705,0.730,0.700,4.26M,2.13%
"Oct 26, 2020",0.705,0.735,0.740,0.700,7.27M,-3.42%
