Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.285,0.275,0.300,0.270,1.93M,5.56%
"Aug 28, 2020",0.270,0.275,0.280,0.265,983.20K,-3.57%
"Aug 27, 2020",0.280,0.280,0.280,0.275,970.30K,0.00%
"Aug 26, 2020",0.280,0.265,0.280,0.260,1.92M,5.66%
"Aug 25, 2020",0.265,0.265,0.270,0.260,955.10K,0.00%
"Aug 24, 2020",0.265,0.265,0.270,0.260,904.70K,0.00%
"Aug 21, 2020",0.265,0.265,0.270,0.265,1.70M,0.00%
"Aug 19, 2020",0.265,0.265,0.265,0.260,587.00K,0.00%
"Aug 18, 2020",0.265,0.260,0.265,0.255,864.60K,1.92%
"Aug 17, 2020",0.260,0.265,0.265,0.255,848.90K,-1.89%
"Aug 14, 2020",0.265,0.270,0.270,0.265,757.50K,-3.64%
"Aug 13, 2020",0.275,0.260,0.275,0.260,1.40M,3.77%
"Aug 12, 2020",0.265,0.275,0.275,0.255,1.26M,-1.85%
"Aug 11, 2020",0.270,0.270,0.280,0.260,3.16M,1.89%
"Aug 10, 2020",0.265,0.275,0.275,0.260,1.77M,-3.64%
"Aug 07, 2020",0.275,0.275,0.280,0.275,1.38M,0.00%
"Aug 06, 2020",0.275,0.290,0.290,0.270,782.50K,-3.51%
"Aug 05, 2020",0.285,0.265,0.285,0.265,2.05M,7.55%
"Aug 04, 2020",0.265,0.275,0.280,0.265,943.20K,-3.64%
"Aug 03, 2020",0.275,0.280,0.280,0.275,372.50K,-1.79%
