Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.815,0.820,0.825,0.800,1.99M,-1.21%
"Aug 28, 2020",0.825,0.845,0.845,0.825,1.87M,-0.60%
"Aug 27, 2020",0.830,0.840,0.860,0.830,4.09M,-0.60%
"Aug 26, 2020",0.835,0.870,0.870,0.825,6.59M,-3.47%
"Aug 25, 2020",0.865,0.920,0.920,0.865,11.02M,-4.42%
"Aug 24, 2020",0.905,0.880,0.920,0.860,17.57M,5.23%
"Aug 21, 2020",0.860,0.810,0.860,0.805,10.18M,6.83%
"Aug 19, 2020",0.805,0.825,0.825,0.795,1.95M,-1.23%
"Aug 18, 2020",0.815,0.785,0.825,0.785,7.67M,3.82%
"Aug 17, 2020",0.785,0.800,0.800,0.775,3.46M,-0.63%
"Aug 14, 2020",0.790,0.820,0.830,0.790,3.28M,-3.66%
"Aug 13, 2020",0.820,0.830,0.840,0.820,1.67M,-0.61%
"Aug 12, 2020",0.825,0.860,0.860,0.800,5.37M,-5.71%
"Aug 11, 2020",0.875,0.910,0.925,0.870,7.18M,-0.57%
"Aug 10, 2020",0.880,0.865,0.920,0.830,7.40M,2.33%
"Aug 07, 2020",0.860,0.930,0.940,0.830,5.68M,-7.53%
"Aug 06, 2020",0.930,0.965,0.980,0.915,7.38M,0.00%
"Aug 05, 2020",0.930,0.800,0.995,0.800,23.15M,16.98%
"Aug 04, 2020",0.795,0.795,0.810,0.785,2.28M,1.27%
"Aug 03, 2020",0.785,0.790,0.800,0.785,2.02M,-0.63%
