Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.040,0.035,0.040,0.035,121.75M,14.29%
"Aug 28, 2020",0.035,0.035,0.040,0.035,288.10M,-12.50%
"Aug 27, 2020",0.040,0.035,0.040,0.030,450.92M,33.33%
"Aug 26, 2020",0.030,0.030,0.035,0.030,56.91M,0.00%
"Aug 25, 2020",0.030,0.035,0.035,0.030,73.13M,-14.29%
"Aug 24, 2020",0.035,0.035,0.035,0.030,38.65M,16.67%
"Aug 21, 2020",0.030,0.030,0.035,0.030,209.56M,-14.29%
"Aug 19, 2020",0.035,0.035,0.035,0.030,38.15M,0.00%
"Aug 18, 2020",0.035,0.035,0.035,0.030,54.30M,16.67%
"Aug 17, 2020",0.030,0.035,0.040,0.030,287.41M,-14.29%
"Aug 14, 2020",0.035,0.040,0.040,0.030,298.31M,-12.50%
"Aug 13, 2020",0.040,0.040,0.045,0.035,578.89M,0.00%
"Aug 12, 2020",0.040,0.040,0.040,0.025,645.63M,0.00%
"Aug 11, 2020",0.040,0.050,0.050,0.035,641.34M,-11.11%
"Aug 10, 2020",0.045,0.045,0.050,0.040,871.60M,-50.00%
"Aug 08, 2020",0.090,0.070,0.090,0.070,1.01B,125.00%
"Aug 07, 2020",0.040,0.040,0.050,0.035,1.01B,14.29%
"Aug 06, 2020",0.035,0.035,0.040,0.030,440.12M,16.67%
"Aug 05, 2020",0.030,0.025,0.035,0.025,483.73M,20.00%
"Aug 04, 2020",0.025,0.030,0.030,0.025,157.58M,0.00%
"Aug 03, 2020",0.025,0.030,0.030,0.025,45.74M,-16.67%
