Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.270,0.255,0.290,0.250,101.04M,10.20%
"Sep 14, 2020",0.245,0.245,0.260,0.240,20.23M,0.00%
"Sep 11, 2020",0.245,0.250,0.255,0.240,20.18M,-2.00%
"Sep 10, 2020",0.250,0.270,0.275,0.245,19.25M,-1.96%
"Sep 09, 2020",0.255,0.265,0.270,0.255,13.39M,-3.77%
"Sep 08, 2020",0.265,0.265,0.275,0.255,33.04M,-3.64%
"Sep 07, 2020",0.275,0.290,0.295,0.275,23.79M,-3.51%
"Sep 04, 2020",0.285,0.280,0.300,0.280,26.79M,0.00%
"Sep 03, 2020",0.285,0.290,0.300,0.275,44.50M,-5.00%
"Sep 02, 2020",0.300,0.315,0.320,0.285,68.58M,-10.45%
"Sep 01, 2020",0.335,0.295,0.340,0.285,187.76M,15.52%
"Aug 28, 2020",0.290,0.280,0.295,0.270,42.71M,3.57%
"Aug 27, 2020",0.280,0.295,0.295,0.275,31.33M,0.00%
"Aug 26, 2020",0.280,0.285,0.295,0.275,21.99M,-1.75%
"Aug 25, 2020",0.285,0.285,0.305,0.280,46.06M,-6.56%
"Aug 24, 2020",0.305,0.290,0.315,0.275,68.08M,3.39%
"Aug 21, 2020",0.295,0.295,0.310,0.285,44.32M,-4.84%
"Aug 19, 2020",0.310,0.340,0.340,0.300,68.16M,-10.14%
"Aug 18, 2020",0.345,0.320,0.355,0.310,290.54M,21.05%
"Aug 17, 2020",0.285,0.280,0.315,0.260,169.79M,3.64%
