Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.595,0.620,0.620,0.595,8.70K,0.85%
"Nov 25, 2020",0.590,0.600,0.600,0.590,29.00K,-2.48%
"Nov 24, 2020",0.605,0.610,0.620,0.600,243.90K,-0.82%
"Nov 23, 2020",0.610,0.630,0.630,0.610,31.00K,-1.61%
"Nov 20, 2020",0.620,0.625,0.625,0.610,138.50K,-0.80%
"Nov 19, 2020",0.625,0.595,0.670,0.595,766.20K,5.93%
"Nov 18, 2020",0.590,0.585,0.600,0.580,410.10K,2.61%
"Nov 17, 2020",0.575,0.570,0.580,0.565,317.10K,0.88%
"Nov 16, 2020",0.570,0.560,0.570,0.560,34.70K,0.00%
"Nov 13, 2020",0.570,0.570,0.570,0.565,544.70K,0.00%
"Nov 12, 2020",0.570,0.565,0.570,0.565,232.60K,1.61%
"Nov 11, 2020",0.561,0.576,0.580,0.561,653.03K,-1.71%
"Nov 10, 2020",0.571,0.556,0.571,0.546,106.70K,0.86%
"Nov 09, 2020",0.566,0.566,0.571,0.556,207.15K,0.00%
"Nov 06, 2020",0.566,0.551,0.566,0.551,191.37K,2.65%
"Nov 05, 2020",0.551,0.546,0.551,0.546,102.40K,0.89%
"Nov 04, 2020",0.546,0.522,0.546,0.522,32.19K,3.70%
"Nov 03, 2020",0.527,0.522,0.537,0.522,56.99K,0.93%
"Nov 02, 2020",0.522,0.527,0.537,0.517,65.91K,-2.73%
"Oct 30, 2020",0.537,0.546,0.546,0.527,208.59K,-1.79%
"Oct 28, 2020",0.546,0.546,0.561,0.541,188.19K,-3.45%
"Oct 27, 2020",0.566,0.556,0.566,0.556,40.80K,3.57%
"Oct 26, 2020",0.546,0.561,0.561,0.546,253.69K,-3.45%
