Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.760,0.765,0.775,0.755,1.95M,0.66%
"Aug 28, 2020",0.755,0.755,0.770,0.720,6.38M,-3.82%
"Aug 27, 2020",0.785,0.835,0.835,0.780,3.78M,-5.42%
"Aug 26, 2020",0.830,0.775,0.835,0.750,6.46M,6.41%
"Aug 25, 2020",0.780,0.870,0.870,0.760,7.26M,-10.86%
"Aug 24, 2020",0.875,0.980,0.980,0.840,10.17M,-9.33%
"Aug 21, 2020",0.965,0.985,1.020,0.955,6.81M,-2.03%
"Aug 19, 2020",0.985,0.965,1.130,0.930,37.36M,-1.01%
"Aug 18, 2020",0.995,0.705,1.000,0.705,36.67M,41.13%
"Aug 17, 2020",0.705,0.710,0.780,0.670,7.73M,0.00%
"Aug 14, 2020",0.705,0.765,0.780,0.685,9.03M,-7.84%
"Aug 13, 2020",0.765,0.830,0.860,0.760,7.42M,-4.97%
"Aug 12, 2020",0.805,0.945,0.945,0.750,16.03M,-14.81%
"Aug 11, 2020",0.945,1.130,1.140,0.920,11.34M,-10.85%
"Aug 10, 2020",1.060,1.190,1.220,0.990,14.04M,-10.92%
"Aug 07, 2020",1.190,1.420,1.520,1.160,40.64M,-18.49%
"Aug 06, 2020",1.460,1.180,1.460,1.080,115.29M,29.20%
"Aug 05, 2020",1.130,1.210,1.220,1.090,16.57M,-2.59%
"Aug 04, 2020",1.160,1.170,1.350,1.000,79.02M,-0.85%
"Aug 03, 2020",1.170,0.920,1.170,0.905,141.48M,32.20%
