Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.865,0.865,0.865,0.865,-,0.00%
"Nov 25, 2020",0.865,0.860,0.870,0.860,157.30K,1.76%
"Nov 24, 2020",0.850,0.850,0.850,0.850,31.00K,0.00%
"Nov 20, 2020",0.850,0.860,0.860,0.850,26.70K,-1.16%
"Nov 19, 2020",0.860,0.845,0.860,0.840,45.00K,1.78%
"Nov 18, 2020",0.845,0.845,0.850,0.845,10.00K,-0.59%
"Nov 17, 2020",0.850,0.870,0.880,0.850,39.50K,-1.16%
"Nov 16, 2020",0.860,0.840,0.860,0.840,198.50K,2.38%
"Nov 13, 2020",0.840,0.840,0.845,0.840,21.00K,0.00%
"Nov 12, 2020",0.840,0.840,0.840,0.840,21.00K,0.60%
"Nov 11, 2020",0.835,0.835,0.835,0.835,12.60K,0.00%
"Nov 10, 2020",0.835,0.845,0.845,0.835,54.60K,-0.60%
"Nov 09, 2020",0.840,0.840,0.840,0.830,130.40K,0.60%
"Nov 06, 2020",0.835,0.830,0.835,0.830,58.00K,0.00%
"Nov 05, 2020",0.835,0.835,0.835,0.835,11.00K,0.00%
"Nov 04, 2020",0.835,0.830,0.845,0.830,64.00K,-0.60%
"Nov 03, 2020",0.840,0.830,0.840,0.830,3.00K,1.20%
"Nov 02, 2020",0.830,0.830,0.830,0.830,81.20K,0.00%
"Oct 30, 2020",0.830,0.845,0.845,0.830,195.80K,-1.78%
"Oct 28, 2020",0.845,0.845,0.845,0.845,11.00K,0.00%
"Oct 27, 2020",0.845,0.845,0.845,0.845,3.00K,-0.59%
"Oct 26, 2020",0.850,0.840,0.850,0.840,62.30K,0.00%
