Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.150,1.140,1.150,1.140,6.00K,0.88%
"Aug 27, 2020",1.140,1.140,1.140,1.080,11.00K,5.56%
"Aug 26, 2020",1.080,1.080,1.080,1.080,17.10K,-6.09%
"Aug 18, 2020",1.150,1.080,1.150,1.080,15.50K,0.00%
"Aug 14, 2020",1.150,1.150,1.150,1.150,1.10K,0.88%
"Aug 12, 2020",1.140,1.080,1.140,1.080,17.60K,3.64%
"Aug 11, 2020",1.100,1.060,1.100,1.060,1.10K,-1.79%
"Aug 07, 2020",1.120,1.120,1.160,1.060,29.70K,1.82%
"Aug 06, 2020",1.100,1.040,1.100,1.040,21.10K,4.76%
"Aug 05, 2020",1.050,1.100,1.100,1.050,28.00K,0.00%
"Aug 04, 2020",1.050,1.060,1.060,1.040,10.00K,-3.67%
"Aug 03, 2020",1.090,1.060,1.090,1.040,26.20K,2.83%
