Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.740,0.750,0.760,0.740,122.90K,4.23%
"Aug 28, 2020",0.710,0.700,0.760,0.695,181.20K,0.00%
"Aug 26, 2020",0.710,0.740,0.740,0.710,159.70K,-7.79%
"Aug 25, 2020",0.770,0.780,0.780,0.720,495.20K,6.94%
"Aug 24, 2020",0.720,0.690,0.755,0.610,1.03M,22.03%
"Aug 21, 2020",0.590,0.620,0.630,0.590,83.00K,-1.67%
"Aug 18, 2020",0.600,0.600,0.600,0.600,28.00K,0.00%
"Aug 14, 2020",0.600,0.600,0.600,0.600,31.40K,-3.23%
"Aug 12, 2020",0.620,0.620,0.620,0.620,1.20K,0.00%
"Aug 11, 2020",0.620,0.620,0.620,0.620,3.50K,-3.12%
"Aug 10, 2020",0.640,0.640,0.640,0.640,3.00K,-0.78%
"Aug 07, 2020",0.645,0.605,0.645,0.600,39.50K,-5.15%
"Aug 05, 2020",0.680,0.670,0.680,0.670,49.80K,1.49%
"Aug 04, 2020",0.670,0.670,0.680,0.670,20.00K,6.35%
"Aug 03, 2020",0.630,0.630,0.630,0.630,15.00K,0.00%
