Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",2.34,2.35,2.37,2.25,605.50K,-0.85%
"Aug 28, 2020",2.36,2.36,2.36,2.29,1.02M,0.00%
"Aug 27, 2020",2.36,2.15,2.37,2.15,4.21M,9.77%
"Aug 26, 2020",2.15,2.16,2.18,2.15,319.50K,-0.46%
"Aug 25, 2020",2.16,2.19,2.19,2.15,313.20K,-1.37%
"Aug 24, 2020",2.19,2.19,2.21,2.18,289.70K,0.00%
"Aug 21, 2020",2.19,2.16,2.20,2.15,697.80K,1.39%
"Aug 19, 2020",2.16,2.17,2.17,2.15,228.50K,-0.46%
"Aug 18, 2020",2.17,2.18,2.19,2.14,696.40K,-0.46%
"Aug 17, 2020",2.18,2.16,2.21,2.16,1.03M,0.93%
"Aug 14, 2020",2.16,2.14,2.16,2.13,507.70K,0.93%
"Aug 13, 2020",2.14,2.19,2.23,2.12,1.90M,-0.93%
"Aug 12, 2020",2.16,2.14,2.23,2.07,1.09M,0.93%
"Aug 11, 2020",2.14,2.10,2.16,2.10,822.50K,1.90%
"Aug 10, 2020",2.10,2.21,2.23,2.10,1.17M,-3.67%
"Aug 07, 2020",2.18,2.14,2.29,2.13,1.56M,2.35%
"Aug 06, 2020",2.13,2.06,2.17,2.06,886.00K,3.90%
"Aug 05, 2020",2.05,2.04,2.07,2.03,1.40M,0.99%
"Aug 04, 2020",2.03,2.03,2.08,2.02,1.15M,0.50%
"Aug 03, 2020",2.02,2.14,2.14,2.01,2.89M,-5.16%
