Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.360,0.365,0.370,0.360,233.90K,-1.37%
"Aug 28, 2020",0.365,0.365,0.370,0.365,117.50K,-1.35%
"Aug 27, 2020",0.370,0.370,0.375,0.365,253.50K,-1.33%
"Aug 26, 2020",0.375,0.370,0.375,0.365,316.90K,1.35%
"Aug 25, 2020",0.370,0.375,0.375,0.370,290.70K,0.00%
"Aug 24, 2020",0.370,0.375,0.375,0.370,184.20K,-1.33%
"Aug 21, 2020",0.375,0.370,0.375,0.365,226.40K,1.35%
"Aug 19, 2020",0.370,0.370,0.370,0.365,594.00K,0.00%
"Aug 18, 2020",0.370,0.370,0.375,0.365,565.60K,0.00%
"Aug 17, 2020",0.370,0.375,0.375,0.370,144.60K,0.00%
"Aug 14, 2020",0.370,0.380,0.380,0.370,318.60K,-2.63%
"Aug 13, 2020",0.380,0.370,0.380,0.370,539.50K,2.70%
"Aug 12, 2020",0.370,0.375,0.380,0.365,614.80K,0.00%
"Aug 11, 2020",0.370,0.370,0.380,0.370,3.96M,0.00%
"Aug 10, 2020",0.370,0.375,0.375,0.370,868.30K,1.37%
"Aug 07, 2020",0.365,0.370,0.375,0.365,526.50K,0.00%
"Aug 06, 2020",0.365,0.375,0.375,0.365,524.10K,-1.35%
"Aug 05, 2020",0.370,0.365,0.370,0.360,477.90K,2.78%
"Aug 04, 2020",0.360,0.365,0.365,0.355,389.20K,-1.37%
"Aug 03, 2020",0.365,0.360,0.365,0.360,591.80K,0.00%
