Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.810,0.800,0.810,0.800,689.30K,0.62%
"Nov 25, 2020",0.805,0.805,0.810,0.800,304.40K,-0.62%
"Nov 24, 2020",0.810,0.810,0.820,0.790,1.01M,0.62%
"Nov 23, 2020",0.805,0.795,0.820,0.795,1.17M,1.26%
"Nov 20, 2020",0.795,0.790,0.795,0.785,640.30K,0.63%
"Nov 19, 2020",0.790,0.795,0.795,0.780,445.50K,-0.63%
"Nov 18, 2020",0.795,0.785,0.795,0.780,347.10K,0.63%
"Nov 17, 2020",0.790,0.805,0.810,0.785,1.04M,0.00%
"Nov 16, 2020",0.790,0.760,0.805,0.760,1.84M,4.64%
"Nov 13, 2020",0.755,0.740,0.760,0.730,1.19M,2.03%
"Nov 12, 2020",0.740,0.740,0.745,0.730,1.65M,0.68%
"Nov 11, 2020",0.735,0.705,0.735,0.700,2.82M,4.26%
"Nov 10, 2020",0.705,0.700,0.710,0.695,1.64M,2.17%
"Nov 09, 2020",0.690,0.725,0.730,0.690,3.68M,-4.83%
"Nov 06, 2020",0.725,0.720,0.725,0.715,554.10K,1.40%
"Nov 05, 2020",0.715,0.715,0.720,0.710,179.70K,0.70%
"Nov 04, 2020",0.710,0.715,0.720,0.710,176.50K,0.00%
"Nov 03, 2020",0.710,0.710,0.715,0.710,137.40K,-0.70%
"Nov 02, 2020",0.715,0.705,0.720,0.705,620.00K,0.70%
"Oct 30, 2020",0.710,0.720,0.725,0.710,300.10K,-1.39%
"Oct 28, 2020",0.720,0.720,0.720,0.720,226.00K,-0.69%
"Oct 27, 2020",0.725,0.720,0.730,0.720,348.20K,0.00%
"Oct 26, 2020",0.725,0.725,0.730,0.720,279.40K,0.00%
