Date,Price,Open,High,Low,Vol.,Change %
"Aug 27, 2020",0.265,0.265,0.265,0.265,2.50K,1.92%
"Aug 26, 2020",0.260,0.260,0.260,0.260,25.00K,0.00%
"Aug 25, 2020",0.260,0.265,0.265,0.260,20.00K,-1.89%
"Aug 24, 2020",0.265,0.255,0.305,0.255,31.60K,-13.11%
"Aug 21, 2020",0.305,0.305,0.305,0.305,25.00K,0.00%
"Aug 19, 2020",0.305,0.255,0.305,0.255,295.70K,17.31%
"Aug 18, 2020",0.260,0.275,0.275,0.260,73.40K,-1.89%
"Aug 17, 2020",0.265,0.265,0.265,0.265,2.50K,3.92%
"Aug 14, 2020",0.255,0.255,0.255,0.255,4.00K,0.00%
"Aug 12, 2020",0.255,0.270,0.270,0.255,72.30K,-3.77%
"Aug 11, 2020",0.265,0.265,0.265,0.265,61.00K,3.92%
"Aug 10, 2020",0.255,0.260,0.260,0.250,50.50K,-5.56%
"Aug 07, 2020",0.270,0.270,0.270,0.270,41.20K,3.85%
"Aug 06, 2020",0.260,0.250,0.260,0.250,8.00K,4.00%
"Aug 05, 2020",0.250,0.250,0.250,0.250,12.50K,0.00%
"Aug 04, 2020",0.250,0.250,0.250,0.250,2.50K,6.38%
