Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.515,0.490,0.525,0.490,1.04M,11.96%
"Nov 25, 2020",0.460,0.465,0.465,0.460,16.00K,-1.08%
"Nov 24, 2020",0.465,0.460,0.465,0.460,188.80K,-1.06%
"Nov 23, 2020",0.470,0.470,0.470,0.470,5.30K,2.17%
"Nov 20, 2020",0.460,0.480,0.500,0.460,33.80K,0.00%
"Nov 19, 2020",0.460,0.465,0.465,0.460,22.20K,-1.08%
"Nov 18, 2020",0.465,0.465,0.465,0.465,95.00K,1.09%
"Nov 17, 2020",0.460,0.450,0.460,0.450,39.50K,0.00%
"Nov 16, 2020",0.460,0.475,0.475,0.450,73.50K,-3.16%
"Nov 13, 2020",0.475,0.450,0.475,0.450,14.30K,6.74%
"Nov 12, 2020",0.445,0.445,0.445,0.445,6.00K,-4.30%
"Nov 11, 2020",0.465,0.460,0.465,0.460,10.00K,3.33%
"Nov 10, 2020",0.450,0.460,0.460,0.450,94.70K,-2.17%
"Nov 09, 2020",0.460,0.475,0.480,0.460,21.00K,2.22%
"Nov 06, 2020",0.450,0.450,0.475,0.450,22.00K,1.12%
"Nov 05, 2020",0.445,0.440,0.460,0.440,72.60K,0.00%
"Nov 04, 2020",0.445,0.440,0.450,0.430,137.10K,2.30%
"Nov 03, 2020",0.435,0.450,0.450,0.425,100.10K,-3.33%
"Nov 02, 2020",0.450,0.410,0.450,0.410,136.40K,4.65%
"Oct 30, 2020",0.430,0.465,0.500,0.430,298.60K,-7.53%
"Oct 28, 2020",0.465,0.440,0.475,0.440,132.20K,-3.12%
"Oct 27, 2020",0.480,0.480,0.490,0.450,177.10K,6.67%
"Oct 26, 2020",0.450,0.465,0.465,0.450,82.60K,-4.26%
