Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.270,0.275,0.280,0.270,6.39M,-1.82%
"Aug 28, 2020",0.275,0.270,0.285,0.265,24.11M,1.85%
"Aug 27, 2020",0.270,0.295,0.295,0.270,31.71M,-6.90%
"Aug 26, 2020",0.290,0.265,0.295,0.260,109.14M,9.43%
"Aug 25, 2020",0.265,0.270,0.270,0.255,19.50M,-1.85%
"Aug 24, 2020",0.270,0.285,0.285,0.265,25.75M,-5.26%
"Aug 21, 2020",0.285,0.285,0.290,0.275,33.47M,3.64%
"Aug 19, 2020",0.275,0.270,0.280,0.260,19.28M,1.85%
"Aug 18, 2020",0.270,0.265,0.270,0.255,15.46M,1.89%
"Aug 17, 2020",0.265,0.275,0.275,0.260,12.47M,-1.85%
"Aug 14, 2020",0.270,0.275,0.275,0.260,11.55M,0.00%
"Aug 13, 2020",0.270,0.275,0.285,0.270,9.28M,-3.57%
"Aug 12, 2020",0.280,0.290,0.290,0.260,27.83M,-6.67%
"Aug 11, 2020",0.300,0.315,0.320,0.290,31.83M,-4.76%
"Aug 10, 2020",0.315,0.320,0.330,0.310,62.53M,1.61%
"Aug 07, 2020",0.310,0.295,0.315,0.295,71.54M,5.08%
"Aug 06, 2020",0.295,0.295,0.300,0.285,46.00M,1.72%
"Aug 05, 2020",0.290,0.285,0.305,0.275,55.58M,1.75%
"Aug 04, 2020",0.285,0.280,0.300,0.270,80.55M,1.79%
"Aug 03, 2020",0.280,0.270,0.285,0.265,64.02M,5.66%
