Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.225,0.235,0.235,0.225,198.00K,-4.26%
"Aug 28, 2020",0.235,0.230,0.235,0.230,82.50K,0.00%
"Aug 27, 2020",0.235,0.230,0.235,0.230,42.10K,2.17%
"Aug 26, 2020",0.230,0.225,0.235,0.225,198.40K,2.22%
"Aug 25, 2020",0.225,0.230,0.230,0.225,42.90K,-2.17%
"Aug 24, 2020",0.230,0.230,0.230,0.230,21.00K,-2.13%
"Aug 21, 2020",0.235,0.235,0.235,0.230,192.90K,0.00%
"Aug 19, 2020",0.235,0.235,0.235,0.230,290.00K,0.00%
"Aug 18, 2020",0.235,0.230,0.235,0.230,473.70K,-2.08%
"Aug 17, 2020",0.240,0.235,0.240,0.230,315.40K,2.13%
"Aug 14, 2020",0.235,0.240,0.240,0.230,310.00K,-2.08%
"Aug 13, 2020",0.240,0.230,0.240,0.230,96.00K,2.13%
"Aug 12, 2020",0.235,0.235,0.240,0.230,296.00K,-2.08%
"Aug 11, 2020",0.240,0.240,0.245,0.235,453.00K,-2.04%
"Aug 10, 2020",0.245,0.235,0.245,0.235,136.60K,2.08%
"Aug 08, 2020",0.240,0.240,0.240,0.240,-,0.00%
"Aug 07, 2020",0.240,0.230,0.240,0.230,389.50K,0.00%
"Aug 06, 2020",0.240,0.235,0.240,0.230,213.70K,0.00%
"Aug 05, 2020",0.240,0.230,0.240,0.230,165.40K,2.13%
"Aug 04, 2020",0.235,0.245,0.245,0.235,135.00K,2.17%
"Aug 03, 2020",0.230,0.235,0.235,0.230,515.40K,-2.13%
