Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.230,0.230,0.230,0.230,-,0.00%
"Aug 28, 2020",0.230,0.235,0.235,0.230,3.31M,-2.13%
"Aug 27, 2020",0.235,0.235,0.235,0.230,1.68M,2.17%
"Aug 26, 2020",0.230,0.245,0.245,0.225,9.18M,-4.17%
"Aug 25, 2020",0.240,0.260,0.260,0.240,4.50M,-5.88%
"Aug 24, 2020",0.255,0.245,0.260,0.245,5.48M,4.08%
"Aug 21, 2020",0.245,0.245,0.250,0.245,2.10M,2.08%
"Aug 19, 2020",0.240,0.235,0.245,0.235,2.38M,4.35%
"Aug 18, 2020",0.230,0.220,0.230,0.220,950.70K,4.55%
"Aug 17, 2020",0.220,0.230,0.230,0.220,1.62M,-2.22%
"Aug 14, 2020",0.225,0.225,0.230,0.220,2.55M,-2.17%
"Aug 13, 2020",0.230,0.230,0.240,0.225,2.47M,0.00%
"Aug 12, 2020",0.230,0.235,0.240,0.225,2.82M,-4.17%
"Aug 11, 2020",0.240,0.270,0.270,0.235,7.54M,-11.11%
"Aug 10, 2020",0.270,0.250,0.270,0.240,10.72M,10.20%
"Aug 07, 2020",0.245,0.265,0.275,0.240,8.18M,-5.77%
"Aug 06, 2020",0.260,0.230,0.285,0.230,43.74M,15.56%
"Aug 05, 2020",0.225,0.220,0.230,0.215,4.54M,2.27%
"Aug 04, 2020",0.220,0.230,0.230,0.215,7.09M,-4.35%
"Aug 03, 2020",0.230,0.235,0.235,0.220,2.44M,0.00%
