Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",1.000,1.070,1.090,0.985,6.57M,-2.91%
"Nov 25, 2020",1.030,0.950,1.170,0.945,36.33M,10.75%
"Nov 24, 2020",0.930,0.760,0.940,0.760,19.14M,35.77%
"Nov 23, 2020",0.685,0.655,0.685,0.655,1.28M,6.20%
"Nov 20, 2020",0.645,0.665,0.665,0.640,157.50K,-0.77%
"Nov 19, 2020",0.650,0.655,0.665,0.650,238.60K,0.00%
"Nov 18, 2020",0.650,0.670,0.670,0.650,250.50K,-2.99%
"Nov 17, 2020",0.670,0.675,0.685,0.660,948.70K,0.75%
"Nov 16, 2020",0.665,0.625,0.665,0.625,1.07M,6.40%
"Nov 13, 2020",0.625,0.640,0.640,0.620,196.20K,-2.34%
"Nov 12, 2020",0.640,0.645,0.645,0.630,268.50K,-0.78%
"Nov 11, 2020",0.645,0.655,0.675,0.640,1.04M,0.78%
"Nov 10, 2020",0.640,0.610,0.645,0.600,742.60K,10.34%
"Nov 09, 2020",0.580,0.585,0.585,0.580,22.10K,-0.85%
"Nov 06, 2020",0.585,0.565,0.585,0.565,53.90K,1.74%
"Nov 05, 2020",0.575,0.570,0.575,0.565,14.90K,3.60%
"Nov 04, 2020",0.555,0.575,0.575,0.555,60.90K,0.00%
"Nov 03, 2020",0.555,0.555,0.555,0.550,22.00K,0.91%
"Nov 02, 2020",0.550,0.555,0.555,0.550,32.00K,-0.90%
"Oct 30, 2020",0.555,0.560,0.560,0.550,173.40K,-2.63%
"Oct 28, 2020",0.570,0.570,0.575,0.570,85.60K,0.00%
"Oct 27, 2020",0.570,0.565,0.580,0.565,85.80K,0.00%
"Oct 26, 2020",0.570,0.580,0.580,0.570,133.10K,-1.72%
