Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.705,0.705,0.705,0.705,-,0.00%
"Aug 27, 2020",0.705,0.720,0.720,0.705,2.10K,-6.00%
"Aug 24, 2020",0.750,0.750,0.750,0.750,22.00K,6.38%
"Aug 21, 2020",0.705,0.705,0.705,0.705,2.90K,-0.70%
"Aug 19, 2020",0.710,0.750,0.750,0.710,18.40K,0.00%
"Aug 17, 2020",0.710,0.710,0.710,0.710,1.00K,-1.39%
"Aug 14, 2020",0.720,0.720,0.720,0.720,0.10K,1.41%
"Aug 12, 2020",0.710,0.710,0.710,0.710,0.10K,0.00%
"Aug 11, 2020",0.710,0.730,0.730,0.710,3.40K,1.43%
"Aug 10, 2020",0.700,0.730,0.730,0.700,26.60K,-5.41%
"Aug 07, 2020",0.740,0.740,0.740,0.740,25.00K,-5.13%
"Aug 06, 2020",0.780,0.760,0.780,0.760,21.00K,0.00%
"Aug 05, 2020",0.780,0.760,0.780,0.760,18.70K,6.85%
"Aug 04, 2020",0.730,0.750,0.750,0.730,30.40K,-3.95%
"Aug 03, 2020",0.760,0.765,0.765,0.760,13.20K,-7.32%
