Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.28,0.28,0.28,0.28,-,0.00%
"Aug 28, 2020",0.28,0.29,0.29,0.28,3.66M,0.00%
"Aug 27, 2020",0.29,0.29,0.29,0.28,6.74M,0.00%
"Aug 26, 2020",0.29,0.29,0.29,0.29,1.62M,0.00%
"Aug 25, 2020",0.29,0.29,0.31,0.29,7.61M,0.00%
"Aug 24, 2020",0.29,0.29,0.30,0.28,14.71M,-3.33%
"Aug 21, 2020",0.30,0.30,0.31,0.30,13.67M,0.00%
"Aug 19, 2020",0.30,0.31,0.31,0.30,8.55M,0.00%
"Aug 18, 2020",0.31,0.31,0.31,0.29,10.41M,0.00%
"Aug 17, 2020",0.30,0.30,0.31,0.29,10.45M,0.00%
"Aug 14, 2020",0.30,0.31,0.31,0.30,5.75M,-3.23%
"Aug 13, 2020",0.31,0.31,0.32,0.31,9.22M,0.00%
"Aug 12, 2020",0.31,0.31,0.31,0.29,10.15M,0.00%
"Aug 11, 2020",0.31,0.32,0.33,0.31,10.01M,0.00%
"Aug 10, 2020",0.32,0.31,0.32,0.31,10.56M,3.23%
"Aug 07, 2020",0.31,0.35,0.35,0.31,15.51M,-10.14%
"Aug 06, 2020",0.34,0.32,0.37,0.32,98.15M,9.52%
"Aug 05, 2020",0.31,0.30,0.32,0.29,36.91M,3.28%
"Aug 04, 2020",0.31,0.31,0.31,0.29,9.61M,0.00%
"Aug 03, 2020",0.31,0.31,0.32,0.30,21.53M,0.00%
