Date,Price,Open,High,Low,Vol.,Change %
"Sep 15, 2020",0.735,0.750,0.785,0.705,27.75M,-11.98%
"Sep 14, 2020",0.835,0.765,0.845,0.750,22.32M,11.33%
"Sep 11, 2020",0.750,0.735,0.765,0.700,7.32M,1.35%
"Sep 10, 2020",0.740,0.805,0.815,0.730,12.80M,-6.92%
"Sep 09, 2020",0.795,0.785,0.845,0.765,28.84M,0.63%
"Sep 08, 2020",0.790,0.770,0.850,0.680,63.86M,3.27%
"Sep 07, 2020",0.765,0.900,0.920,0.765,40.36M,-15.93%
"Sep 04, 2020",0.910,0.890,0.955,0.860,16.17M,-3.19%
"Sep 03, 2020",0.940,1.080,1.080,0.940,27.69M,-12.96%
"Sep 02, 2020",1.080,1.130,1.150,1.060,11.54M,-3.57%
"Sep 01, 2020",1.120,1.160,1.160,1.110,11.63M,-2.61%
"Aug 28, 2020",1.150,1.120,1.170,1.110,10.37M,0.88%
"Aug 27, 2020",1.140,1.160,1.190,1.120,8.44M,-1.72%
"Aug 26, 2020",1.160,1.080,1.210,1.070,41.67M,7.41%
"Aug 25, 2020",1.080,1.060,1.110,1.040,16.61M,1.89%
"Aug 24, 2020",1.060,1.060,1.110,1.030,14.30M,-1.85%
"Aug 21, 2020",1.080,1.110,1.110,1.040,14.64M,-5.26%
"Aug 19, 2020",1.140,1.000,1.170,0.995,44.60M,15.15%
"Aug 18, 2020",0.990,0.945,1.010,0.945,12.73M,5.88%
"Aug 17, 2020",0.935,0.955,0.975,0.935,6.89M,-2.60%
