Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.695,0.690,0.695,0.685,174.20K,0.72%
"Aug 28, 2020",0.690,0.685,0.695,0.680,342.00K,0.73%
"Aug 27, 2020",0.685,0.690,0.695,0.685,312.80K,-1.44%
"Aug 26, 2020",0.695,0.695,0.700,0.690,384.40K,-0.71%
"Aug 25, 2020",0.700,0.710,0.715,0.700,877.20K,-0.71%
"Aug 24, 2020",0.705,0.690,0.710,0.690,1.02M,1.44%
"Aug 21, 2020",0.695,0.700,0.705,0.685,1.46M,-0.71%
"Aug 19, 2020",0.700,0.695,0.710,0.695,635.90K,0.72%
"Aug 18, 2020",0.695,0.695,0.700,0.685,299.50K,1.46%
"Aug 17, 2020",0.685,0.675,0.695,0.675,779.90K,0.74%
"Aug 14, 2020",0.680,0.690,0.695,0.675,998.90K,-1.45%
"Aug 13, 2020",0.690,0.700,0.705,0.685,781.90K,-0.72%
"Aug 12, 2020",0.695,0.710,0.710,0.680,1.27M,-2.11%
"Aug 11, 2020",0.710,0.760,0.770,0.690,3.30M,-4.05%
"Aug 10, 2020",0.740,0.725,0.775,0.715,8.94M,4.23%
"Aug 07, 2020",0.710,0.695,0.745,0.695,4.48M,2.16%
"Aug 06, 2020",0.695,0.700,0.705,0.690,774.90K,0.00%
"Aug 05, 2020",0.695,0.685,0.705,0.680,1.19M,1.46%
"Aug 04, 2020",0.685,0.675,0.685,0.675,597.70K,0.00%
"Aug 03, 2020",0.685,0.685,0.695,0.675,1.40M,0.00%
