Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.615,0.625,0.625,0.595,3.30M,-1.60%
"Nov 25, 2020",0.625,0.635,0.635,0.625,835.00K,-1.57%
"Nov 24, 2020",0.635,0.635,0.640,0.625,2.59M,-0.78%
"Nov 23, 2020",0.640,0.660,0.660,0.630,2.17M,-1.54%
"Nov 20, 2020",0.650,0.660,0.665,0.645,1.61M,-1.52%
"Nov 19, 2020",0.660,0.625,0.665,0.620,5.95M,6.45%
"Nov 18, 2020",0.620,0.630,0.635,0.620,1.14M,-1.59%
"Nov 17, 2020",0.630,0.640,0.640,0.620,1.79M,-1.56%
"Nov 16, 2020",0.640,0.645,0.660,0.625,3.12M,0.00%
"Nov 13, 2020",0.640,0.635,0.650,0.635,1.27M,0.79%
"Nov 12, 2020",0.635,0.645,0.670,0.630,3.36M,-1.55%
"Nov 11, 2020",0.645,0.680,0.690,0.645,6.53M,-4.44%
"Nov 10, 2020",0.675,0.620,0.685,0.595,10.32M,8.00%
"Nov 09, 2020",0.625,0.640,0.640,0.625,1.34M,-0.79%
"Nov 06, 2020",0.630,0.650,0.655,0.625,3.41M,-1.56%
"Nov 05, 2020",0.640,0.620,0.640,0.620,2.87M,4.07%
"Nov 04, 2020",0.615,0.615,0.630,0.615,2.14M,0.00%
"Nov 03, 2020",0.615,0.610,0.615,0.585,1.84M,2.50%
"Nov 02, 2020",0.600,0.600,0.620,0.580,3.43M,-0.83%
"Oct 30, 2020",0.605,0.620,0.620,0.590,7.02M,-2.42%
"Oct 28, 2020",0.620,0.660,0.665,0.615,12.18M,-3.88%
"Oct 27, 2020",0.645,0.610,0.655,0.610,8.42M,6.61%
"Oct 26, 2020",0.605,0.625,0.625,0.585,6.13M,0.83%
