Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",4.66,4.63,4.69,4.60,592.90K,1.75%
"Aug 28, 2020",4.58,4.69,4.73,4.58,4.49M,-2.14%
"Aug 27, 2020",4.68,4.68,4.72,4.66,3.93M,0.00%
"Aug 26, 2020",4.68,4.77,4.78,4.67,4.78M,-2.09%
"Aug 25, 2020",4.78,4.78,4.83,4.75,1.74M,0.00%
"Aug 24, 2020",4.78,4.80,4.82,4.75,3.78M,-0.42%
"Aug 21, 2020",4.80,4.85,4.86,4.80,2.99M,-1.64%
"Aug 19, 2020",4.88,4.87,4.93,4.85,1.62M,0.21%
"Aug 18, 2020",4.87,4.97,5.02,4.86,2.24M,-1.81%
"Aug 17, 2020",4.96,5.00,5.02,4.94,1.87M,0.40%
"Aug 14, 2020",4.94,5.01,5.04,4.93,3.21M,-1.20%
"Aug 13, 2020",5.00,4.92,5.04,4.90,2.34M,1.63%
"Aug 12, 2020",4.92,4.85,4.96,4.85,752.00K,1.23%
"Aug 11, 2020",4.86,4.91,4.91,4.84,2.12M,-1.22%
"Aug 10, 2020",4.92,4.92,4.92,4.88,161.10K,0.20%
"Aug 07, 2020",4.91,4.92,4.95,4.84,1.61M,-0.81%
"Aug 06, 2020",4.95,4.84,4.95,4.84,758.50K,2.27%
"Aug 05, 2020",4.84,4.92,4.92,4.82,2.89M,-1.63%
"Aug 04, 2020",4.92,4.95,4.98,4.90,1.30M,0.00%
"Aug 03, 2020",4.92,5.05,5.07,4.92,1.99M,-1.99%
