Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.895,0.900,0.900,0.895,84.40K,0.00%
"Aug 28, 2020",0.895,0.910,0.910,0.895,216.70K,-0.56%
"Aug 27, 2020",0.900,0.895,0.910,0.890,465.00K,2.27%
"Aug 26, 2020",0.880,0.875,0.885,0.875,206.50K,0.57%
"Aug 25, 2020",0.875,0.900,0.905,0.870,811.30K,-2.23%
"Aug 24, 2020",0.895,0.900,0.910,0.890,376.30K,0.00%
"Aug 21, 2020",0.895,0.890,0.895,0.875,963.60K,0.56%
"Aug 19, 2020",0.890,0.900,0.900,0.885,320.60K,-1.11%
"Aug 18, 2020",0.900,0.900,0.900,0.890,149.50K,0.00%
"Aug 17, 2020",0.900,0.895,0.900,0.890,105.90K,1.69%
"Aug 14, 2020",0.885,0.895,0.895,0.885,226.40K,-1.67%
"Aug 13, 2020",0.900,0.900,0.905,0.900,119.00K,0.56%
"Aug 12, 2020",0.895,0.890,0.895,0.885,111.90K,0.56%
"Aug 11, 2020",0.890,0.900,0.905,0.890,500.60K,-1.11%
"Aug 10, 2020",0.900,0.900,0.905,0.890,767.60K,-1.10%
"Aug 07, 2020",0.910,0.910,0.915,0.905,1.09M,-0.55%
"Aug 06, 2020",0.915,0.900,0.915,0.885,602.30K,3.39%
"Aug 05, 2020",0.885,0.890,0.900,0.885,606.40K,-0.56%
"Aug 04, 2020",0.890,0.895,0.895,0.885,727.70K,-0.56%
"Aug 03, 2020",0.895,0.940,0.940,0.895,712.60K,-4.79%
