Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.405,0.395,0.410,0.390,3.09M,3.85%
"Aug 28, 2020",0.390,0.395,0.395,0.390,519.00K,-1.27%
"Aug 27, 2020",0.395,0.390,0.395,0.385,1.47M,1.28%
"Aug 26, 2020",0.390,0.380,0.390,0.380,901.50K,1.30%
"Aug 25, 2020",0.385,0.395,0.395,0.385,1.54M,-1.28%
"Aug 24, 2020",0.390,0.380,0.390,0.380,2.17M,2.63%
"Aug 21, 2020",0.380,0.375,0.390,0.370,3.52M,4.11%
"Aug 19, 2020",0.365,0.355,0.370,0.355,1.54M,2.82%
"Aug 18, 2020",0.355,0.365,0.365,0.355,1.16M,-1.39%
"Aug 17, 2020",0.360,0.360,0.365,0.355,601.00K,0.00%
"Aug 14, 2020",0.360,0.365,0.365,0.355,1.80M,-1.37%
"Aug 13, 2020",0.365,0.370,0.380,0.365,880.70K,0.00%
"Aug 12, 2020",0.365,0.375,0.375,0.360,2.25M,-3.95%
"Aug 11, 2020",0.380,0.390,0.390,0.375,1.59M,-1.30%
"Aug 10, 2020",0.385,0.395,0.395,0.380,1.56M,-1.28%
"Aug 07, 2020",0.390,0.410,0.420,0.385,4.41M,-2.50%
"Aug 06, 2020",0.400,0.390,0.420,0.385,14.46M,6.67%
"Aug 05, 2020",0.375,0.365,0.375,0.360,3.64M,2.74%
"Aug 04, 2020",0.365,0.365,0.375,0.355,2.80M,1.39%
"Aug 03, 2020",0.360,0.365,0.365,0.355,1.10M,-1.37%
