Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",1.300,1.340,1.340,1.290,2.32M,-3.70%
"Aug 28, 2020",1.350,1.350,1.350,1.330,1.55M,0.00%
"Aug 27, 2020",1.350,1.330,1.350,1.330,1.28M,1.50%
"Aug 26, 2020",1.330,1.350,1.360,1.330,1.62M,-0.75%
"Aug 25, 2020",1.340,1.380,1.390,1.330,2.34M,-1.47%
"Aug 24, 2020",1.360,1.340,1.400,1.330,8.41M,1.49%
"Aug 21, 2020",1.340,1.340,1.390,1.330,8.44M,0.00%
"Aug 19, 2020",1.340,1.320,1.370,1.310,9.43M,3.08%
"Aug 18, 2020",1.300,1.240,1.320,1.220,4.29M,5.69%
"Aug 17, 2020",1.230,1.230,1.250,1.200,1.64M,0.82%
"Aug 14, 2020",1.220,1.270,1.270,1.210,2.31M,-3.94%
"Aug 13, 2020",1.270,1.270,1.280,1.260,1.44M,0.79%
"Aug 12, 2020",1.260,1.290,1.300,1.220,4.70M,-1.56%
"Aug 11, 2020",1.280,1.320,1.320,1.270,4.56M,-0.78%
"Aug 10, 2020",1.290,1.310,1.310,1.280,2.43M,-1.53%
"Aug 07, 2020",1.310,1.340,1.370,1.310,2.81M,-1.50%
"Aug 06, 2020",1.330,1.340,1.350,1.320,2.49M,0.00%
"Aug 05, 2020",1.330,1.350,1.360,1.310,2.07M,-0.75%
"Aug 04, 2020",1.340,1.370,1.400,1.320,4.95M,-0.74%
"Aug 03, 2020",1.350,1.300,1.360,1.290,4.92M,4.65%
