Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.685,0.680,0.690,0.680,119.40K,-0.72%
"Aug 28, 2020",0.690,0.705,0.710,0.690,476.80K,-2.13%
"Aug 27, 2020",0.705,0.700,0.720,0.700,934.40K,2.17%
"Aug 26, 2020",0.690,0.685,0.695,0.680,1.10M,5.34%
"Aug 25, 2020",0.655,0.660,0.665,0.650,134.80K,-0.76%
"Aug 24, 2020",0.660,0.650,0.660,0.650,133.00K,1.54%
"Aug 21, 2020",0.650,0.660,0.660,0.630,205.00K,0.00%
"Aug 19, 2020",0.650,0.675,0.675,0.640,73.00K,-2.99%
"Aug 18, 2020",0.670,0.670,0.680,0.635,119.00K,4.69%
"Aug 17, 2020",0.640,0.660,0.660,0.635,86.50K,-3.03%
"Aug 14, 2020",0.660,0.660,0.660,0.655,76.90K,-0.75%
"Aug 13, 2020",0.665,0.680,0.685,0.660,39.50K,0.76%
"Aug 12, 2020",0.660,0.670,0.670,0.650,215.50K,-1.49%
"Aug 11, 2020",0.670,0.665,0.670,0.650,233.10K,0.00%
"Aug 10, 2020",0.670,0.670,0.670,0.660,88.50K,-0.74%
"Aug 07, 2020",0.675,0.680,0.680,0.670,165.40K,-0.74%
"Aug 06, 2020",0.680,0.695,0.695,0.675,187.00K,0.74%
"Aug 05, 2020",0.675,0.670,0.675,0.660,146.10K,0.75%
"Aug 04, 2020",0.670,0.670,0.670,0.665,144.50K,0.00%
"Aug 03, 2020",0.670,0.700,0.700,0.660,153.60K,-2.90%
