Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.590,0.590,0.590,0.590,-,0.00%
"Aug 26, 2020",0.590,0.595,0.595,0.590,11.00K,0.00%
"Aug 25, 2020",0.590,0.600,0.600,0.590,74.60K,-1.67%
"Aug 24, 2020",0.600,0.615,0.615,0.600,94.40K,-2.44%
"Aug 21, 2020",0.615,0.610,0.620,0.610,92.00K,0.00%
"Aug 18, 2020",0.615,0.615,0.615,0.615,7.00K,-1.60%
"Aug 17, 2020",0.625,0.625,0.635,0.625,35.60K,2.46%
"Aug 13, 2020",0.610,0.610,0.610,0.610,3.00K,0.83%
"Aug 12, 2020",0.605,0.615,0.615,0.605,31.50K,-1.63%
"Aug 11, 2020",0.615,0.610,0.615,0.610,16.00K,0.82%
"Aug 10, 2020",0.610,0.610,0.610,0.610,1.10K,-0.81%
"Aug 07, 2020",0.615,0.605,0.625,0.605,43.00K,1.65%
"Aug 06, 2020",0.605,0.610,0.620,0.600,282.50K,-2.42%
"Aug 05, 2020",0.620,0.635,0.635,0.610,60.00K,-1.59%
"Aug 04, 2020",0.630,0.605,0.635,0.605,87.70K,1.61%
"Aug 03, 2020",0.620,0.625,0.625,0.620,43.40K,-1.59%
