Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.350,0.350,0.350,0.350,-,-2.78%
"Aug 26, 2020",0.360,0.340,0.360,0.340,51.50K,2.86%
"Aug 24, 2020",0.350,0.340,0.350,0.340,86.00K,1.45%
"Aug 21, 2020",0.345,0.345,0.345,0.345,14.90K,-5.48%
"Aug 17, 2020",0.365,0.335,0.365,0.335,20.10K,1.39%
"Aug 14, 2020",0.360,0.340,0.360,0.340,51.00K,0.00%
"Aug 13, 2020",0.360,0.335,0.370,0.335,26.00K,5.88%
"Aug 12, 2020",0.340,0.340,0.340,0.330,42.00K,0.00%
"Aug 11, 2020",0.340,0.340,0.340,0.340,45.00K,0.00%
"Aug 10, 2020",0.340,0.325,0.345,0.325,52.50K,-2.86%
"Aug 07, 2020",0.350,0.330,0.350,0.320,31.00K,-2.78%
"Aug 06, 2020",0.360,0.325,0.380,0.325,198.60K,4.35%
"Aug 04, 2020",0.345,0.325,0.345,0.325,53.00K,0.00%
"Aug 03, 2020",0.345,0.340,0.345,0.340,9.00K,0.00%
