Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.23,0.24,0.25,0.23,7.49M,-4.17%
"Aug 28, 2020",0.24,0.25,0.25,0.24,26.94M,-4.00%
"Aug 27, 2020",0.25,0.25,0.26,0.25,14.81M,0.00%
"Aug 26, 2020",0.25,0.25,0.26,0.25,22.04M,0.00%
"Aug 25, 2020",0.25,0.25,0.26,0.25,22.00M,0.00%
"Aug 24, 2020",0.25,0.26,0.26,0.25,35.11M,-3.77%
"Aug 21, 2020",0.26,0.26,0.28,0.25,35.46M,0.00%
"Aug 19, 2020",0.26,0.26,0.27,0.25,22.79M,0.00%
"Aug 18, 2020",0.26,0.27,0.28,0.26,37.57M,-3.70%
"Aug 17, 2020",0.27,0.28,0.29,0.26,32.70M,-5.26%
"Aug 14, 2020",0.28,0.30,0.31,0.28,64.35M,-5.00%
"Aug 13, 2020",0.30,0.28,0.31,0.28,40.41M,7.14%
"Aug 12, 2020",0.28,0.28,0.28,0.25,9.03M,0.00%
"Aug 11, 2020",0.28,0.28,0.29,0.27,19.51M,0.00%
"Aug 10, 2020",0.28,0.27,0.28,0.27,7.39M,0.00%
"Aug 07, 2020",0.27,0.27,0.28,0.26,12.44M,0.00%
"Aug 06, 2020",0.27,0.28,0.28,0.26,16.16M,0.00%
"Aug 05, 2020",0.28,0.26,0.29,0.26,13.70M,0.00%
"Aug 04, 2020",0.27,0.30,0.30,0.26,16.07M,-10.00%
"Aug 03, 2020",0.30,0.31,0.34,0.29,35.27M,-4.76%
