Date,Price,Open,High,Low,Vol.,Change %
"Nov 25, 2020",1.140,1.080,1.140,1.080,16.30K,6.54%
"Nov 24, 2020",1.070,1.100,1.100,1.070,127.00K,-4.46%
"Nov 23, 2020",1.120,1.100,1.140,1.100,27.30K,-5.88%
"Nov 19, 2020",1.190,1.190,1.190,1.190,0.90K,-0.83%
"Nov 18, 2020",1.200,1.200,1.250,1.200,37.50K,0.00%
"Nov 17, 2020",1.200,1.250,1.250,1.200,18.10K,0.00%
"Nov 16, 2020",1.200,1.130,1.240,1.130,33.40K,4.35%
"Nov 13, 2020",1.150,1.050,1.200,1.050,88.40K,9.52%
"Nov 12, 2020",1.050,1.050,1.050,1.050,71.30K,0.00%
"Nov 11, 2020",1.050,1.100,1.100,1.050,40.00K,-8.70%
"Nov 10, 2020",1.150,1.150,1.150,1.150,0.10K,4.55%
"Nov 09, 2020",1.100,1.160,1.200,1.100,46.70K,-4.35%
"Nov 06, 2020",1.150,1.150,1.150,1.150,43.80K,-0.86%
"Nov 05, 2020",1.160,1.160,1.160,1.160,12.00K,-3.33%
"Nov 04, 2020",1.200,1.200,1.200,1.150,51.80K,0.00%
"Nov 03, 2020",1.200,1.200,1.200,1.200,0.10K,4.35%
"Nov 02, 2020",1.150,1.250,1.250,1.150,25.00K,-8.00%
"Oct 30, 2020",1.250,1.320,1.320,1.180,113.60K,-4.58%
"Oct 28, 2020",1.310,1.280,1.330,1.280,130.00K,4.80%
"Oct 27, 2020",1.250,1.130,1.250,1.130,104.10K,9.65%
"Oct 26, 2020",1.140,1.110,1.140,1.110,63.00K,0.88%
