Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.215,0.220,0.220,0.215,782.40K,0.00%
"Aug 28, 2020",0.215,0.215,0.215,0.210,1.46M,0.00%
"Aug 27, 2020",0.215,0.225,0.225,0.215,2.43M,-2.27%
"Aug 26, 2020",0.220,0.220,0.220,0.210,2.48M,4.76%
"Aug 25, 2020",0.210,0.225,0.225,0.210,4.69M,-8.70%
"Aug 24, 2020",0.230,0.230,0.230,0.220,6.75M,2.22%
"Aug 21, 2020",0.225,0.225,0.230,0.220,8.61M,2.27%
"Aug 19, 2020",0.220,0.210,0.240,0.210,45.21M,4.76%
"Aug 18, 2020",0.210,0.195,0.215,0.195,8.57M,7.69%
"Aug 17, 2020",0.195,0.195,0.200,0.190,2.59M,0.00%
"Aug 14, 2020",0.195,0.200,0.210,0.195,5.19M,-2.50%
"Aug 13, 2020",0.200,0.195,0.205,0.195,2.56M,0.00%
"Aug 12, 2020",0.200,0.205,0.205,0.195,4.21M,-2.44%
"Aug 11, 2020",0.205,0.200,0.215,0.195,6.88M,2.50%
"Aug 10, 2020",0.200,0.200,0.200,0.195,3.77M,0.00%
"Aug 07, 2020",0.200,0.215,0.215,0.190,5.70M,-6.98%
"Aug 06, 2020",0.215,0.205,0.215,0.200,4.44M,8.49%
"Aug 05, 2020",0.198,0.179,0.203,0.174,9.12M,13.89%
"Aug 04, 2020",0.174,0.179,0.184,0.174,1.86M,-2.70%
"Aug 03, 2020",0.179,0.179,0.179,0.174,2.82M,2.78%
