Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.075,0.080,0.080,0.075,4.49M,-6.25%
"Aug 28, 2020",0.080,0.075,0.080,0.075,7.74M,6.67%
"Aug 27, 2020",0.075,0.075,0.080,0.070,28.09M,0.00%
"Aug 26, 2020",0.075,0.075,0.075,0.070,9.34M,0.00%
"Aug 25, 2020",0.075,0.080,0.080,0.070,25.08M,0.00%
"Aug 24, 2020",0.075,0.080,0.080,0.075,22.69M,-6.25%
"Aug 21, 2020",0.080,0.080,0.085,0.075,39.03M,6.67%
"Aug 19, 2020",0.075,0.075,0.080,0.075,60.03M,0.00%
"Aug 18, 2020",0.075,0.080,0.080,0.070,215.08M,0.00%
"Aug 17, 2020",0.075,0.075,0.080,0.075,13.29M,0.00%
"Aug 14, 2020",0.075,0.085,0.085,0.075,27.28M,-6.25%
"Aug 13, 2020",0.080,0.085,0.090,0.080,14.61M,-5.88%
"Aug 12, 2020",0.085,0.095,0.095,0.075,89.59M,-5.56%
"Aug 11, 2020",0.090,0.100,0.105,0.090,110.17M,-5.26%
"Aug 10, 2020",0.095,0.090,0.100,0.090,151.36M,11.76%
"Aug 07, 2020",0.085,0.085,0.095,0.080,241.12M,0.00%
"Aug 06, 2020",0.085,0.080,0.085,0.075,43.19M,6.25%
"Aug 05, 2020",0.080,0.085,0.085,0.075,68.81M,0.00%
"Aug 04, 2020",0.080,0.080,0.085,0.075,90.00M,6.67%
"Aug 03, 2020",0.075,0.080,0.080,0.075,24.77M,-6.25%
