Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.680,0.680,0.680,0.680,-,0.00%
"Nov 25, 2020",0.680,0.680,0.710,0.670,185.20K,4.62%
"Nov 24, 2020",0.650,0.630,0.650,0.630,10.00K,2.36%
"Nov 23, 2020",0.635,0.635,0.645,0.635,40.00K,-2.31%
"Nov 20, 2020",0.650,0.640,0.655,0.635,42.00K,-0.76%
"Nov 19, 2020",0.655,0.660,0.660,0.635,29.90K,-0.76%
"Nov 18, 2020",0.660,0.660,0.660,0.625,19.10K,0.00%
"Nov 17, 2020",0.660,0.650,0.660,0.635,55.70K,1.54%
"Nov 16, 2020",0.650,0.640,0.660,0.630,30.30K,4.00%
"Nov 13, 2020",0.625,0.540,0.750,0.540,536.90K,11.61%
"Nov 12, 2020",0.560,0.500,0.560,0.500,155.90K,12.00%
"Nov 11, 2020",0.500,0.520,0.535,0.500,7.20K,-8.26%
"Nov 10, 2020",0.545,0.495,0.545,0.495,90.00K,11.22%
"Nov 09, 2020",0.490,0.500,0.550,0.490,32.60K,-2.00%
"Nov 06, 2020",0.500,0.480,0.505,0.470,191.70K,5.26%
"Nov 05, 2020",0.475,0.470,0.480,0.470,19.80K,1.06%
"Nov 04, 2020",0.470,0.470,0.495,0.450,42.60K,0.00%
"Nov 02, 2020",0.470,0.470,0.470,0.460,5.10K,0.00%
"Oct 30, 2020",0.470,0.440,0.470,0.440,50.00K,5.62%
"Oct 28, 2020",0.445,0.450,0.470,0.445,8.10K,1.14%
"Oct 27, 2020",0.440,0.440,0.445,0.440,53.90K,1.15%
"Oct 26, 2020",0.435,0.435,0.465,0.435,11.60K,-5.43%
