Date,Price,Open,High,Low,Vol.,Change %
"Nov 26, 2020",0.520,0.515,0.525,0.515,2.46M,0.00%
"Nov 25, 2020",0.520,0.510,0.525,0.510,13.91M,0.97%
"Nov 24, 2020",0.515,0.530,0.530,0.515,1.94M,-2.83%
"Nov 23, 2020",0.530,0.515,0.535,0.505,13.19M,1.92%
"Nov 20, 2020",0.520,0.495,0.535,0.495,18.72M,5.05%
"Nov 19, 2020",0.495,0.515,0.540,0.495,15.32M,-5.71%
"Nov 18, 2020",0.525,0.515,0.530,0.500,10.00M,0.96%
"Nov 17, 2020",0.520,0.510,0.535,0.500,21.52M,4.00%
"Nov 16, 2020",0.500,0.480,0.515,0.480,14.72M,5.26%
"Nov 13, 2020",0.475,0.450,0.490,0.435,20.65M,5.56%
"Nov 12, 2020",0.450,0.455,0.460,0.440,5.11M,-1.10%
"Nov 11, 2020",0.455,0.470,0.485,0.450,5.35M,-3.19%
"Nov 10, 2020",0.470,0.485,0.515,0.470,56.11M,-2.08%
"Nov 09, 2020",0.480,0.475,0.490,0.470,7.80M,1.05%
"Nov 06, 2020",0.475,0.485,0.485,0.470,2.97M,-2.06%
"Nov 05, 2020",0.485,0.445,0.490,0.435,40.20M,8.99%
"Nov 04, 2020",0.445,0.445,0.460,0.425,10.53M,2.30%
"Nov 03, 2020",0.435,0.440,0.445,0.430,2.79M,0.00%
"Nov 02, 2020",0.435,0.405,0.485,0.405,43.71M,7.41%
"Oct 30, 2020",0.405,0.385,0.410,0.380,5.16M,5.19%
"Oct 28, 2020",0.385,0.405,0.405,0.385,3.92M,-4.94%
"Oct 27, 2020",0.405,0.370,0.470,0.370,26.65M,8.00%
"Oct 26, 2020",0.375,0.395,0.395,0.350,990.60K,-5.06%
