Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.180,0.185,0.185,0.180,351.60K,-2.70%
"Aug 28, 2020",0.185,0.190,0.200,0.185,2.06M,-5.13%
"Aug 27, 2020",0.195,0.215,0.215,0.195,4.17M,-11.36%
"Aug 26, 2020",0.220,0.180,0.220,0.175,13.78M,25.71%
"Aug 25, 2020",0.175,0.175,0.175,0.175,1.01M,0.00%
"Aug 24, 2020",0.175,0.180,0.180,0.175,1.42M,-2.78%
"Aug 21, 2020",0.180,0.175,0.185,0.175,1.06M,-2.70%
"Aug 19, 2020",0.185,0.175,0.185,0.175,903.50K,2.78%
"Aug 18, 2020",0.180,0.180,0.180,0.175,1.72M,0.00%
"Aug 17, 2020",0.180,0.180,0.185,0.180,1.30M,0.00%
"Aug 14, 2020",0.180,0.190,0.190,0.180,1.51M,-5.26%
"Aug 13, 2020",0.190,0.195,0.205,0.190,1.76M,0.00%
"Aug 12, 2020",0.190,0.205,0.205,0.185,2.19M,-5.00%
"Aug 11, 2020",0.200,0.190,0.210,0.185,7.95M,5.26%
"Aug 10, 2020",0.190,0.190,0.190,0.180,738.20K,0.00%
"Aug 07, 2020",0.190,0.205,0.205,0.185,5.83M,-5.00%
"Aug 06, 2020",0.200,0.205,0.205,0.195,3.71M,0.00%
"Aug 05, 2020",0.200,0.195,0.200,0.195,3.60M,5.26%
"Aug 04, 2020",0.190,0.205,0.205,0.185,2.60M,-5.00%
"Aug 03, 2020",0.200,0.215,0.215,0.200,1.84M,-6.98%
