Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.140,0.145,0.145,0.140,243.20K,-3.45%
"Aug 28, 2020",0.145,0.150,0.155,0.145,4.88M,-3.33%
"Aug 27, 2020",0.150,0.150,0.150,0.140,4.63M,0.00%
"Aug 26, 2020",0.150,0.155,0.155,0.145,4.32M,-3.23%
"Aug 25, 2020",0.155,0.165,0.165,0.150,11.47M,-6.06%
"Aug 24, 2020",0.165,0.145,0.165,0.145,25.49M,13.79%
"Aug 21, 2020",0.145,0.140,0.145,0.130,4.04M,11.54%
"Aug 19, 2020",0.130,0.140,0.140,0.130,3.09M,-3.70%
"Aug 18, 2020",0.135,0.130,0.140,0.130,4.58M,3.85%
"Aug 17, 2020",0.130,0.140,0.140,0.130,4.74M,-7.14%
"Aug 14, 2020",0.140,0.150,0.150,0.130,6.43M,-3.45%
"Aug 13, 2020",0.145,0.150,0.160,0.145,6.14M,0.00%
"Aug 12, 2020",0.145,0.165,0.165,0.125,15.67M,-12.12%
"Aug 11, 2020",0.165,0.180,0.185,0.160,13.46M,-5.71%
"Aug 10, 2020",0.175,0.170,0.185,0.155,25.41M,12.90%
"Aug 07, 2020",0.155,0.150,0.200,0.140,125.44M,6.90%
"Aug 06, 2020",0.145,0.130,0.150,0.130,49.10M,11.54%
"Aug 05, 2020",0.130,0.120,0.135,0.120,12.89M,4.00%
"Aug 04, 2020",0.125,0.120,0.125,0.115,8.43M,4.17%
"Aug 03, 2020",0.120,0.125,0.125,0.120,7.72M,0.00%
