Date,Price,Open,High,Low,Vol.,Change %
"Aug 28, 2020",0.500,0.500,0.500,0.500,11.20K,0.00%
"Aug 27, 2020",0.500,0.495,0.500,0.495,44.00K,0.00%
"Aug 26, 2020",0.500,0.485,0.500,0.485,855.00K,5.26%
"Aug 25, 2020",0.475,0.490,0.490,0.475,6.00K,-5.00%
"Aug 24, 2020",0.500,0.500,0.500,0.500,8.00K,1.01%
"Aug 21, 2020",0.495,0.475,0.495,0.475,17.30K,3.13%
"Aug 19, 2020",0.480,0.475,0.480,0.475,16.00K,0.00%
"Aug 18, 2020",0.480,0.475,0.480,0.475,12.00K,2.13%
"Aug 17, 2020",0.470,0.490,0.490,0.470,22.80K,-2.08%
"Aug 14, 2020",0.480,0.470,0.485,0.470,32.00K,-1.03%
"Aug 13, 2020",0.485,0.470,0.485,0.470,31.00K,3.19%
"Aug 12, 2020",0.470,0.470,0.470,0.470,20.00K,0.00%
"Aug 11, 2020",0.470,0.470,0.470,0.470,9.00K,1.08%
"Aug 10, 2020",0.465,0.465,0.470,0.465,19.20K,0.00%
"Aug 07, 2020",0.465,0.465,0.465,0.465,18.00K,-1.06%
"Aug 06, 2020",0.470,0.465,0.475,0.465,69.80K,1.08%
"Aug 05, 2020",0.465,0.465,0.465,0.465,12.00K,0.00%
"Aug 04, 2020",0.465,0.465,0.470,0.465,57.70K,-1.06%
"Aug 03, 2020",0.470,0.465,0.475,0.465,36.40K,1.08%
