Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.115,0.120,0.120,0.115,140.00K,-4.17%
"Aug 28, 2020",0.120,0.120,0.125,0.120,702.10K,-7.69%
"Aug 27, 2020",0.130,0.120,0.135,0.115,2.70M,8.33%
"Aug 26, 2020",0.120,0.115,0.120,0.115,31.50K,4.35%
"Aug 25, 2020",0.115,0.120,0.120,0.115,97.00K,-4.17%
"Aug 24, 2020",0.120,0.115,0.120,0.115,91.00K,9.09%
"Aug 21, 2020",0.110,0.115,0.120,0.110,509.30K,-8.33%
"Aug 19, 2020",0.120,0.115,0.120,0.115,182.00K,4.35%
"Aug 18, 2020",0.115,0.115,0.115,0.115,260.00K,-4.17%
"Aug 17, 2020",0.120,0.115,0.120,0.115,267.50K,0.00%
"Aug 14, 2020",0.120,0.115,0.120,0.115,14.20K,0.00%
"Aug 13, 2020",0.120,0.120,0.125,0.120,123.50K,4.35%
"Aug 12, 2020",0.115,0.125,0.130,0.115,852.00K,-4.17%
"Aug 11, 2020",0.120,0.125,0.125,0.120,539.00K,-4.00%
"Aug 10, 2020",0.125,0.115,0.125,0.115,1.25M,4.17%
"Aug 07, 2020",0.120,0.115,0.120,0.115,442.80K,4.35%
"Aug 06, 2020",0.115,0.110,0.120,0.110,955.60K,4.55%
"Aug 05, 2020",0.110,0.110,0.110,0.105,811.10K,0.00%
"Aug 04, 2020",0.110,0.110,0.110,0.110,277.90K,-4.35%
"Aug 03, 2020",0.115,0.110,0.115,0.110,325.00K,0.00%
