Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.285,0.265,0.285,0.265,9.70M,9.62%
"Aug 28, 2020",0.260,0.260,0.270,0.250,5.24M,0.00%
"Aug 27, 2020",0.260,0.260,0.280,0.245,7.10M,-1.89%
"Aug 26, 2020",0.265,0.270,0.325,0.260,49.56M,-3.64%
"Aug 25, 2020",0.275,0.230,0.290,0.220,26.45M,19.57%
"Aug 24, 2020",0.230,0.235,0.235,0.210,5.16M,0.00%
"Aug 21, 2020",0.230,0.215,0.235,0.215,6.00M,6.98%
"Aug 19, 2020",0.215,0.210,0.225,0.210,2.77M,2.38%
"Aug 18, 2020",0.210,0.235,0.235,0.210,3.83M,-10.64%
"Aug 17, 2020",0.235,0.205,0.245,0.200,9.49M,17.50%
"Aug 14, 2020",0.200,0.225,0.225,0.200,4.49M,-9.09%
"Aug 13, 2020",0.220,0.220,0.230,0.215,4.03M,2.33%
"Aug 12, 2020",0.215,0.230,0.235,0.210,8.80M,-4.44%
"Aug 11, 2020",0.225,0.220,0.235,0.200,13.05M,4.65%
"Aug 10, 2020",0.215,0.195,0.220,0.195,15.78M,19.44%
"Aug 07, 2020",0.180,0.170,0.200,0.170,14.48M,2.86%
"Aug 06, 2020",0.175,0.180,0.180,0.165,3.52M,0.00%
"Aug 05, 2020",0.175,0.190,0.195,0.170,11.03M,0.00%
"Aug 04, 2020",0.175,0.145,0.175,0.145,4.82M,20.69%
"Aug 03, 2020",0.145,0.145,0.150,0.140,1.03M,0.00%
