Date,Price,Open,High,Low,Vol.,Change %
"Aug 28, 2020",0.325,0.325,0.330,0.325,199.20K,0.00%
"Aug 27, 2020",0.325,0.325,0.330,0.325,221.00K,1.56%
"Aug 26, 2020",0.320,0.330,0.330,0.320,175.00K,-1.54%
"Aug 25, 2020",0.325,0.320,0.325,0.320,95.00K,3.17%
"Aug 24, 2020",0.315,0.330,0.345,0.305,504.40K,-7.35%
"Aug 21, 2020",0.340,0.320,0.350,0.320,426.50K,7.94%
"Aug 19, 2020",0.315,0.320,0.320,0.310,261.80K,0.00%
"Aug 18, 2020",0.315,0.310,0.320,0.305,231.40K,1.61%
"Aug 17, 2020",0.310,0.305,0.320,0.300,146.20K,0.00%
"Aug 14, 2020",0.310,0.315,0.315,0.310,39.00K,-1.59%
"Aug 13, 2020",0.315,0.305,0.330,0.305,244.50K,3.28%
"Aug 12, 2020",0.305,0.305,0.310,0.300,16.20K,-1.61%
"Aug 11, 2020",0.310,0.305,0.325,0.305,88.00K,0.00%
"Aug 10, 2020",0.310,0.310,0.310,0.300,410.00K,0.00%
"Aug 07, 2020",0.310,0.315,0.315,0.310,183.60K,-3.12%
"Aug 06, 2020",0.320,0.290,0.320,0.290,127.70K,4.92%
"Aug 05, 2020",0.305,0.300,0.310,0.295,152.10K,1.67%
"Aug 04, 2020",0.300,0.300,0.300,0.295,300.90K,0.00%
"Aug 03, 2020",0.300,0.315,0.315,0.295,283.50K,-4.76%
