Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.650,0.655,0.655,0.650,49.50K,-0.76%
"Aug 28, 2020",0.655,0.640,0.670,0.640,2.84M,0.00%
"Aug 27, 2020",0.655,0.640,0.660,0.635,3.26M,1.55%
"Aug 26, 2020",0.645,0.655,0.655,0.640,817.40K,0.78%
"Aug 25, 2020",0.640,0.650,0.650,0.635,780.40K,-2.29%
"Aug 24, 2020",0.655,0.635,0.655,0.635,1.74M,3.15%
"Aug 21, 2020",0.635,0.625,0.640,0.625,1.59M,0.00%
"Aug 19, 2020",0.635,0.630,0.640,0.625,514.50K,0.79%
"Aug 18, 2020",0.630,0.625,0.635,0.625,1.61M,0.00%
"Aug 17, 2020",0.630,0.635,0.640,0.630,479.90K,-0.79%
"Aug 14, 2020",0.635,0.635,0.635,0.620,1.92M,0.00%
"Aug 13, 2020",0.635,0.625,0.635,0.620,902.10K,1.60%
"Aug 12, 2020",0.625,0.615,0.630,0.615,2.26M,1.63%
"Aug 11, 2020",0.615,0.620,0.625,0.605,1.02M,0.00%
"Aug 10, 2020",0.615,0.620,0.620,0.605,977.80K,0.00%
"Aug 07, 2020",0.615,0.625,0.625,0.605,5.56M,-1.60%
"Aug 06, 2020",0.625,0.625,0.630,0.620,2.57M,-0.79%
"Aug 05, 2020",0.630,0.625,0.630,0.620,2.55M,0.00%
"Aug 04, 2020",0.630,0.630,0.635,0.615,3.71M,0.00%
"Aug 03, 2020",0.630,0.625,0.635,0.620,6.91M,0.80%
