Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.380,0.380,0.380,0.380,-,0.00%
"Aug 27, 2020",0.380,0.380,0.380,0.380,3.30K,-5.00%
"Aug 24, 2020",0.400,0.430,0.430,0.400,9.90K,-2.44%
"Aug 21, 2020",0.410,0.410,0.410,0.410,13.40K,7.89%
"Aug 19, 2020",0.380,0.350,0.380,0.350,22.00K,8.57%
"Aug 18, 2020",0.350,0.350,0.390,0.350,7.30K,2.94%
"Aug 17, 2020",0.340,0.300,0.340,0.300,13.20K,-5.56%
"Aug 14, 2020",0.360,0.435,0.435,0.360,10.60K,-17.24%
"Aug 13, 2020",0.435,0.470,0.475,0.420,50.20K,-10.31%
"Aug 12, 2020",0.485,0.500,0.525,0.480,57.20K,-3.00%
"Aug 11, 2020",0.500,0.455,0.555,0.455,112.20K,13.64%
"Aug 10, 2020",0.440,0.530,0.590,0.440,553.60K,14.29%
"Aug 07, 2020",0.385,0.380,0.385,0.380,47.90K,1.32%
"Aug 06, 2020",0.380,0.390,0.390,0.380,57.80K,-2.56%
"Aug 05, 2020",0.390,0.380,0.395,0.380,72.00K,2.63%
"Aug 04, 2020",0.380,0.375,0.390,0.375,46.10K,2.70%
"Aug 03, 2020",0.370,0.360,0.400,0.350,91.60K,12.12%
