Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.140,0.135,0.140,0.135,20.22M,3.70%
"Aug 28, 2020",0.135,0.140,0.155,0.130,101.05M,0.00%
"Aug 27, 2020",0.135,0.120,0.155,0.115,289.15M,17.39%
"Aug 26, 2020",0.115,0.115,0.115,0.110,18.54M,4.55%
"Aug 25, 2020",0.110,0.120,0.120,0.110,19.00M,-4.35%
"Aug 24, 2020",0.115,0.120,0.125,0.115,33.23M,0.00%
"Aug 21, 2020",0.115,0.105,0.130,0.105,141.40M,4.55%
"Aug 19, 2020",0.110,0.110,0.110,0.100,13.66M,0.00%
"Aug 18, 2020",0.110,0.105,0.115,0.100,29.65M,10.00%
"Aug 17, 2020",0.100,0.105,0.105,0.100,7.57M,-4.76%
"Aug 14, 2020",0.105,0.105,0.110,0.100,16.87M,0.00%
"Aug 13, 2020",0.105,0.115,0.115,0.105,14.90M,-4.55%
"Aug 12, 2020",0.110,0.115,0.115,0.105,20.47M,-4.35%
"Aug 11, 2020",0.115,0.130,0.135,0.110,71.04M,-8.00%
"Aug 10, 2020",0.125,0.110,0.125,0.105,85.44M,13.64%
"Aug 07, 2020",0.110,0.110,0.120,0.105,52.61M,0.00%
"Aug 06, 2020",0.110,0.105,0.110,0.100,12.91M,4.76%
"Aug 05, 2020",0.105,0.105,0.110,0.105,5.69M,5.00%
"Aug 04, 2020",0.100,0.110,0.110,0.100,13.42M,-4.76%
"Aug 03, 2020",0.105,0.115,0.115,0.105,19.78M,-8.70%
