Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.390,0.385,0.395,0.380,286.70K,1.30%
"Aug 28, 2020",0.385,0.395,0.405,0.385,595.40K,-4.94%
"Aug 27, 2020",0.405,0.405,0.415,0.385,1.42M,1.25%
"Aug 26, 2020",0.400,0.400,0.415,0.390,2.74M,2.56%
"Aug 25, 2020",0.390,0.430,0.430,0.390,2.20M,-8.24%
"Aug 24, 2020",0.425,0.440,0.440,0.415,1.31M,-1.16%
"Aug 21, 2020",0.430,0.435,0.440,0.430,740.10K,-1.15%
"Aug 19, 2020",0.435,0.450,0.450,0.415,987.30K,-3.33%
"Aug 18, 2020",0.450,0.450,0.460,0.440,2.37M,0.00%
"Aug 17, 2020",0.450,0.470,0.475,0.440,2.06M,-3.23%
"Aug 14, 2020",0.465,0.430,0.470,0.375,6.35M,8.14%
"Aug 13, 2020",0.430,0.430,0.445,0.415,1.60M,-1.15%
"Aug 12, 2020",0.435,0.435,0.450,0.405,1.35M,0.00%
"Aug 11, 2020",0.435,0.420,0.460,0.405,3.70M,6.10%
"Aug 10, 2020",0.410,0.420,0.430,0.405,1.15M,-1.20%
"Aug 07, 2020",0.415,0.450,0.455,0.410,3.23M,-7.78%
"Aug 06, 2020",0.450,0.445,0.460,0.425,3.16M,3.45%
"Aug 05, 2020",0.435,0.430,0.465,0.420,7.92M,3.57%
"Aug 04, 2020",0.420,0.380,0.420,0.330,7.45M,10.53%
"Aug 03, 2020",0.380,0.415,0.415,0.370,4.61M,-8.43%
